u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,EV1_me,EV1_fr,EV2_me,EV2_fr,dam_EV1_al_segments,dam_EV1_al,dam_EV2_al_segments,dam_EV2_al,name,junction
42012660,42017065,0,"[435722624, 471789767, 6779722, 6779723, 6779084, 6779087, 85694896, 6779089, 508822928, 85694899, 6779102]",True,"['2', '3']",A79,motorway,100,False,2280.4910000000004,"[128, 131, 143, 1682, 147, 1684, 1686, 1687, 1690, 155, 158, 160, 161, 2084, 38, 2086, 1835, 1836, 1837, 1838, 1839, 1840, 1841, 50, 1842, 1843, 58, 65, 1605, 2250, 2251, 2252, 77, 2253, 2254, 2255, 80, 74, 2388, 1111, 1112, 90, 2396, 1117, 2397, 1118, 1119, 98, 1122, 1124, 1131, 1005, 114, 116, 2421, 2422, 118, 121]",9,100.0,0.023,"['yes', 'viaduct']",3.6783783783783783,1.0,4.262019230769231,1.0,"[nan, nan, 3724.0, nan, nan, nan, 23333.0, 2723.0, 15095.0, nan, nan, nan, nan, nan, 27717.0, nan, 14932.0, 15323.0, 2964.0, 2794.0, nan, nan, nan, 18818.0, nan, nan, 8952.0, 28709.0, 29798.0, nan, 3539.0, 2499.0, 13504.0, 7478.0, nan, nan, nan, nan, nan, nan, 2668.0, nan, 14617.0, nan, 18879.0, 2991.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",261057.0,"[nan, nan, 7860.0, nan, nan, nan, 23333.0, 10787.0, 22556.0, 3127.0, nan, nan, nan, nan, 41029.0, nan, 15810.0, 15323.0, 2964.0, 5894.0, nan, nan, nan, 21924.0, nan, nan, 8952.0, 28709.0, 30303.0, nan, 6488.0, 5533.0, 16447.0, 16522.0, nan, nan, nan, nan, nan, nan, 4310.0, nan, 14617.0, nan, 24473.0, 4487.0, nan, 4861.0, 2469.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",338778.0,nan,nan
42012660,1912827603,0,337017270,True,2,A79,motorway,100,False,643.9679999999998,"[33, 1506, 1833, 1834, 1584, 1586, 18, 29, 1237, 23, 1689, 989, 2398]",85,100.0,0.006,nan,1.4782608695652173,1.0,3.5661764705882355,1.0,"[8355.0, 12517.0, 4168.0, nan, 5698.0, 3880.0, nan, nan, 4081.0, nan, nan, nan, 12206.0]",50905.0,"[28474.0, 32035.0, 11442.0, 4463.0, 14630.0, 16452.0, nan, 10326.0, 12419.0, nan, 5718.0, 14563.0, 40956.0]",191478.0,nan,nan
42012783,2832217848,0,"[132365576, 6779729]",True,2,A79,motorway,100,False,818.9169999999999,"[37, 1703, 39, 1705, 1704, 11, 13, 16, 1010, 2420, 21, 1017, 26, 2491, 31]",10,100.0,0.008,nan,1.8413461538461537,1.0,3.310272536687631,1.0,"[8438.0, 5547.0, nan, 10384.0, 5081.0, nan, nan, 18018.0, 5979.0, 3302.0, 12276.0, nan, 10544.0, 31491.0, 9594.0]",120654.0,"[23941.0, 9226.0, 30600.0, 29997.0, 7226.0, 4430.0, 9659.0, 22023.0, 10022.0, 6603.0, 17683.0, 38809.0, 13721.0, 55269.0, 18172.0]",297381.0,nan,nan
42012783,10024605460,0,"[1094520673, 1094520674, 6779749, 435562863, 85694897, 85694898, 6779091, 153020405, 6779097, 6779099, 6779742]",True,"['2', '3']",A79,motorway,100,False,2210.7139999999995,"[130, 135, 136, 137, 142, 2452, 2453, 1685, 1688, 153, 157, 159, 2083, 2085, 166, 167, 168, 165, 2727, 53, 60, 2119, 2120, 2121, 2122, 2123, 2124, 2125, 2126, 84, 85, 86, 985, 2393, 2394, 92, 1113, 1116, 1115, 1120, 1121, 1114, 988, 1125, 2411, 2412, 2413, 112, 1009, 2423]",124,100.0,0.022,"['yes', 'viaduct']",1.781954887218045,1.0,2.652439024390244,1.0,"[4158.0, nan, 16509.0, 3130.0, 3456.0, nan, nan, 3828.0, 8432.0, 25951.0, 7287.0, 16580.0, 16162.0, nan, nan, 4555.0, nan, nan, 3949.0, nan, 18844.0, 2927.0, 5716.0, nan, nan, 3393.0, nan, nan, nan, nan, 6232.0, nan, 2804.0, nan, 6127.0, nan, nan, nan, 5233.0, nan, nan, nan, 9362.0, 2691.0, 5970.0, 16192.0, nan, 1949.0, nan, nan]",201437.0,"[4989.0, 3142.0, 17191.0, 3130.0, 3456.0, nan, nan, 17228.0, 15675.0, 26263.0, 7287.0, 17794.0, 17555.0, nan, nan, 4555.0, 1641.0, nan, 5576.0, 16956.0, 30802.0, 2927.0, 5716.0, nan, nan, 3846.0, nan, 5458.0, nan, nan, 20591.0, nan, 2804.0, nan, 6127.0, nan, 3414.0, 2908.0, 5233.0, nan, 7834.0, nan, 21692.0, 2691.0, 21321.0, 21352.0, 14729.0, 2558.0, 15765.0, nan]",360206.0,nan,nan
42016160,8626619502,0,"[182723360, 144158799]",True,nan,nan,secondary,50,False,40.647,"[2080, 66, 1945, 69, 72, 73, 882, 951, 952, 953, 1946, 1947, 63]",12,50.0,0.001,nan,1.0,1.0,1.7222222222222223,1.0,"[3.0, 4.0, nan, 4.0, nan, nan, 4.0, nan, 4.0, nan, 3.0, nan, 3.0]",25.0,"[5.0, 6.0, nan, 8.0, nan, nan, 9.0, 4.0, 9.0, 8.0, 6.0, 4.0, 7.0]",66.0,Witte Hoek,roundabout
42016160,3441582576,0,"[459840416, 182723268, 587459367, 178160302, 224450608]",False,2,nan,secondary,50,False,435.00999999999993,"[1792, 1537, 1794, 1796, 1798, 1800, 1802, 1804, 1806, 1808, 1554, 1810, 1812, 1556, 1814, 1816, 1786, 1566, 1569, 1572, 1788, 41, 44, 51, 54, 2111, 1235, 1372, 1374, 1376, 1378, 1381, 1383, 2664, 1385, 2666, 1387, 1390, 1392, 1394, 1266, 1396, 1398, 1400, 1402, 1404, 1790]",104,50.0,0.009,nan,2.933333333333333,1.0,3.911764705882353,1.0,"[nan, 22.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 6.0, 9.0, nan, 26.0, 185.0, 25.0, 40.0, 233.0, 54.0, nan, nan, nan, nan, nan, nan, 20.0, nan, 19.0, nan, nan, nan, nan, 12.0, nan, nan, nan, nan, nan, nan]",651.0,"[nan, 16.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 8.0, 18.0, nan, 26.0, 282.0, 34.0, 50.0, 295.0, 88.0, nan, nan, nan, nan, 8.0, nan, 29.0, 8.0, 54.0, nan, nan, nan, nan, 26.0, nan, nan, nan, 7.0, nan, nan]",949.0,Ambyerweg,nan
42016160,931725785,0,"[182723360, 182723353]",True,nan,nan,secondary,50,False,42.17400000000001,"[67, 996, 68, 71, 1950, 61, 950, 954, 955, 1948, 1949, 62, 2079]",73,50.0,0.001,nan,,1.0,1.75,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[6.0, nan, 5.0, nan, 8.0, 4.0, 10.0, 4.0, 6.0, 5.0, 5.0, 11.0, 7.0]",71.0,Witte Hoek,roundabout
42016633,42017065,0,"[6779100, 1094520676, 465432950]",True,1,A79,motorway_link,"['100', '80']",False,445.435,"[70, 1655, 75, 880, 79, 1648, 1649, 1650, 1011, 1651, 1652, 1647, 1653, 1654, 1012]",15,90.0,0.005,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,nan,nan
42017065,355917887,0,"[6779104, 6779079, 6779080, 6779082, 948868234, 6778579]",True,2,A79,motorway,100,False,1141.7720000000002,"[1683, 2198, 2204, 2205, 2206, 2207, 2233, 2234, 2235, 2238, 2239, 2245, 78, 2384, 2385, 2386, 83, 986, 987, 95, 97, 1123, 103, 1129, 110, 1136, 113, 115, 119, 122, 126, 127]",14,100.0,0.011,yes,4.571428571428571,1.0,4.785714285714286,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 6345.0, nan, nan, 39531.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",45876.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12690.0, nan, nan, 40786.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",53476.0,nan,nan
42017884,931725785,0,6779711,True,nan,nan,secondary,50,False,77.825,"[2176, 2177, 2178, 101, 1418, 1258, 76, 2192, 82, 2175]",16,50.0,0.002,nan,1.0,1.0,1.7142857142857142,1.0,"[nan, nan, nan, nan, nan, 8.0, 10.0, nan, nan, nan]",18.0,"[nan, 5.0, nan, nan, nan, 22.0, 14.0, nan, nan, nan]",41.0,Maastrichterweg,nan
42017884,298438528,0,"[6779681, 282707716, 1095936805, 1095936806, 1095936807, 6779717, 6779695, 1257131992, 6779707, 27195324]",False,"['2', '3']",nan,secondary,"['50', '80']",True,1162.601,"[2432, 1409, 1411, 1413, 1416, 1677, 1679, 2319, 1681, 145, 2321, 2455, 2073, 2457, 2075, 1819, 2459, 1694, 163, 2470, 2087, 2472, 2474, 2476, 2478, 174, 2480, 176, 2482, 178, 2484, 180, 182, 184, 186, 189, 1597, 192, 1090, 194, 1092, 198, 1094, 1096, 202, 1098, 204, 1100, 209, 874, 875, 2669, 888, 891, 124, 1407]",56,65.0,0.018,yes,1.3333333333333333,1.0,1.896103896103896,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 82.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 31.0, nan]",113.0,"[59.0, nan, nan, nan, 39.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 26.0, 47.0, nan, nan, nan, 96.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 35.0, 56.0, 51.0, nan, 46.0, nan, 31.0, nan]",486.0,Maastrichterweg,nan
42017884,8626619502,0,930370384,True,nan,nan,secondary,50,False,72.12799999999999,"[2179, 2180, 2181, 2182, 2183, 2184, 2185, 2186, 2187, 2189, 2190, 2191, 2174]",118,50.0,0.001,nan,1.5,1.0,2.4545454545454546,1.0,"[nan, nan, nan, nan, nan, nan, nan, 7.0, 4.0, nan, nan, 3.0, 10.0]",24.0,"[nan, nan, nan, nan, nan, nan, 8.0, 18.0, 9.0, nan, nan, 10.0, 20.0]",65.0,Maastrichterweg,nan
42019168,10024605460,0,"[1094520675, 6779093, 465432959]",True,1,A79,motorway_link,"['130', '60']",False,237.585,"[132, 100, 1126, 1127, 1737, 1657, 883, 149, 1656, 94, 1658, 1659, 1660, 894]",18,95.0,0.003,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,nan,nan
42020189,860028311,0,"[435551043, 465432964, 1094519679]",True,1,A79,motorway_link,"['100', '80']",False,684.285,"[1664, 1665, 1666, 1667, 1668, 1669, 1670, 1671, 1672, 1673, 1674, 146, 148, 151, 152, 154, 922, 156, 164, 169, 1591, 980, 981, 982, 1130, 1138, 1661, 1662, 1663]",72,90.0,0.008,nan,,1.0,1.0,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12244.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",12244.0,nan,nan
42030250,42032554,0,1094530542,True,2,A2,motorway,100,False,245.072,"[2405, 205]",19,100.0,0.002,nan,,1.0,,1.0,"[nan, nan]",0.0,"[nan, nan]",0.0,nan,nan
42030250,7460916933,0,"[1094530544, 1037526990]",True,1,A2,motorway_link,100,False,89.05,"[2257, 2404, 206, 207]",20,100.0,0.001,nan,,1.0,,1.0,"[nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan]",0.0,nan,nan
42030250,2119022099,0,"[951696836, 6779752, 6779753, 6779756, 6779758, 252677648, 1094530546, 1094527219, 252677652, 337060733]",True,"['2', '3']",A2,motorway,100,False,1363.2570000000003,"[1297, 2201, 1308, 1309, 1310, 1824, 1825, 1826, 35, 171, 1712, 57, 188, 958, 195, 199, 978, 2399, 96, 2406, 1260, 1273]",90,100.0,0.014,yes,1.25,1.0,1.8,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 7671.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",7671.0,"[nan, nan, 3949.0, nan, nan, nan, nan, nan, nan, 15343.0, nan, 2800.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",22092.0,nan,nan
42032554,42038624,0,"[6779746, 1094530540, 1094530541, 1095174586, 6779736, 1095174585, 6779738]",True,"['2', '3']",A2,motorway,100,False,622.4399999999999,"[2400, 225, 226, 2403, 2401, 1026, 1762, 2402, 1675, 1901, 1902, 245, 246, 2424, 221, 222]",21,100.0,0.006,yes,4.863636363636363,1.0,4.956521739130435,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 27642.0, nan, nan, nan, nan]",27642.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 28169.0, nan, nan, nan, nan]",28169.0,nan,nan
42032554,7460916932,0,"[1094530543, 1037526991]",True,1,A2,motorway_link,100,False,30.333,"[213, 2078]",115,100.0,0.0,nan,,1.0,,1.0,"[nan, nan]",0.0,"[nan, nan]",0.0,nan,nan
42035042,42035294,0,"[6779704, 1095936797, 200335887]",True,1,nan,secondary,50,False,44.083,"[2305, 2307, 2308, 2437, 2309, 2438, 2057, 2058, 2059, 2060, 966, 967, 229, 230, 231, 233, 235, 236, 238]",22,50.0,0.001,nan,,1.0,3.5714285714285716,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, 9.0, 8.0, nan, 4.0, nan, nan, nan, nan, nan, nan, 4.0, nan, nan, nan, nan, nan, 6.0, 9.0]",40.0,Knooppunt Hoolhuis,roundabout
42035042,859543718,0,6779704,True,1,nan,secondary,50,False,8.454,"[232, 970, 2317]",69,50.0,0.0,nan,1.0,1.0,3.3333333333333335,1.0,"[nan, 3.0, nan]",3.0,"[nan, 11.0, 7.0]",18.0,Knooppunt Hoolhuis,roundabout
42035042,10036651839,0,1095936815,True,1,nan,secondary,50,False,30.299,"[2441, 2442, 2443, 2445, 2677, 2461]",127,50.0,0.001,nan,,1.0,1.8888888888888888,1.0,"[nan, nan, nan, nan, nan, nan]",0.0,"[8.0, 5.0, 17.0, 16.0, nan, 10.0]",56.0,Maastrichterweg,nan
42035294,9646103568,0,1095936798,True,1,nan,secondary,50,False,9.956,"[968, 241, 2306, 239]",23,50.0,0.0,nan,3.0,1.0,4.428571428571429,1.0,"[13.0, 6.0, 5.0, 5.0]",29.0,"[18.0, 12.0, 12.0, 9.0]",51.0,Knooppunt Hoolhuis,roundabout
42035294,42035592,0,1095936816,True,1,nan,secondary,50,False,31.764000000000003,"[2446, 2447, 240, 2448, 2463]",24,50.0,0.001,nan,4.421052631578948,1.0,4.95,1.0,"[36.0, 23.0, 18.0, 45.0, 31.0]",153.0,"[36.0, 23.0, 32.0, 50.0, 31.0]",172.0,Bunderstraat,nan
42035592,42038624,0,"[1333271499, 1094531557, 6779607]",True,1,A2,motorway_link,"['50', '130']",False,297.653,"[2720, 2689, 998, 1903, 2719, 242, 2675, 884, 247, 1882, 1883, 252, 255]",25,90.0,0.003,nan,4.027777777777778,1.0,4.5,1.0,"[nan, 16937.0, 1890.0, nan, nan, 1843.0, 763.0, 1154.0, 1432.0, 1565.0, 1209.0, 8577.0, nan]",35370.0,"[nan, 19057.0, 1989.0, nan, nan, 1843.0, 763.0, 1924.0, 1557.0, 2029.0, 1777.0, 17155.0, nan]",48094.0,nan,nan
42035592,847933557,0,6779710,False,3,nan,secondary,50,False,53.564,"[248, 925]",63,50.0,0.001,nan,5.0,1.0,5.0,1.0,"[105.0, 243.0]",348.0,"[105.0, 243.0]",348.0,Bunderstraat,nan
42035592,9646103568,0,1095936817,True,1,nan,secondary,50,False,29.950000000000003,"[2449, 2450, 2451, 244, 2676, 2462]",27,50.0,0.001,nan,4.944444444444445,1.0,5.0,1.0,"[18.0, 39.0, 32.0, 35.0, 13.0, 27.0]",164.0,"[18.0, 39.0, 32.0, 35.0, 14.0, 27.0]",165.0,Bunderstraat,nan
42038624,42043135,0,"[6777004, 6777678, 6777679]",True,4,A2,motorway,100,False,527.633,"[289, 266, 290, 2261]",28,100.0,0.005,yes,,1.0,,1.0,"[nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan]",0.0,nan,nan
42038672,6153690991,0,"[200335888, 509397985, 6779688]",True,nan,nan,secondary,50,False,85.959,"[256, 257, 261, 262, 1032, 265, 268, 2465, 2466, 1968, 1971, 962, 963, 964, 1884, 1004, 1783, 2554, 2557]",29,50.0,0.002,nan,3.7708333333333335,1.0,4.962264150943396,1.0,"[89.0, 8.0, 3.0, 6.0, 80.0, 4.0, nan, 5.0, 5.0, 6.0, 2.0, 6.0, 6.0, 4.0, 45.0, 44.0, 55.0, 2.0, 5.0]",375.0,"[89.0, 16.0, 16.0, 19.0, 80.0, 10.0, 9.0, 12.0, 11.0, 17.0, 12.0, 11.0, 15.0, 19.0, 45.0, 54.0, 57.0, 9.0, 13.0]",514.0,Bunderstraat,roundabout
