ID,evening_total,evening_freight,evening_commute,evening_business,evening_other,day_freight,day_commute,day_business,day_other,day_total
909,0,0,0,0,0,1886,2636,0,32,4554
908,0,0,0,0,0,1886,2636,0,32,4554
907,0,0,0,0,0,1886,2636,0,32,4554
906,0,0,0,0,0,1886,2636,0,32,4554
905,0,0,0,0,0,1886,2636,0,32,4554
904,0,0,0,0,0,1886,2636,0,32,4554
903,0,0,0,0,0,1886,2636,0,32,4554
902,0,0,0,0,0,1886,2636,0,32,4554
901,0,0,0,0,0,1886,2636,0,32,4554
900,0,0,0,0,0,1886,2636,0,32,4554
899,0,0,0,0,0,1886,2636,0,32,4554
898,0,0,0,0,0,1886,2636,0,32,4554
897,0,0,0,0,0,1886,2636,0,32,4554
896,0,0,0,0,0,1886,2636,0,32,4554
895,0,0,0,0,0,1886,2636,0,32,4554
894,0,0,0,0,0,1886,2636,0,32,4554
893,0,0,0,0,0,1886,2636,0,32,4554
892,0,0,0,0,0,1886,2636,0,32,4554
891,0,0,0,0,0,1886,2636,0,32,4554
798,0,0,0,0,0,125,172,0,3,300
769,0,0,0,0,0,125,172,0,3,300
799,0,0,0,0,0,42,57,0,1,100
770,0,0,0,0,0,42,57,0,1,100
793,0,0,0,0,0,42,57,0,1,100
772,0,0,0,0,0,42,57,0,1,100
771,0,0,0,0,0,42,57,0,1,100
809,0,0,0,0,0,42,57,0,1,100
773,0,0,0,0,0,42,57,0,1,100
810,0,0,0,0,0,42,57,0,1,100
775,0,0,0,0,0,42,57,0,1,100
800,0,0,0,0,0,208,286,0,5,499
776,0,0,0,0,0,208,286,0,5,499
790,0,0,0,0,0,42,57,0,1,100
778,0,0,0,0,0,42,57,0,1,100
777,0,0,0,0,0,42,57,0,1,100
817,0,0,0,0,0,42,57,0,1,100
782,0,0,0,0,0,42,57,0,1,100
780,0,0,0,0,0,42,57,0,1,100
795,0,0,0,0,0,130,293,0,0,423
781,0,0,0,0,0,130,293,0,0,423
783,0,0,0,0,0,42,57,0,1,100
765,0,0,0,0,0,42,57,0,1,100
785,0,0,0,0,0,42,57,0,1,100
786,0,0,0,0,0,42,57,0,1,100
788,0,0,0,0,0,42,57,0,1,100
789,0,0,0,0,0,42,57,0,1,100
791,0,0,0,0,0,42,57,0,1,100
792,0,0,0,0,0,42,57,0,1,100
794,0,0,0,0,0,42,57,0,1,100
779,0,0,0,0,0,42,57,0,1,100
796,0,0,0,0,0,125,172,0,3,300
764,0,0,0,0,0,125,172,0,3,300
801,0,0,0,0,0,208,286,0,5,499
802,0,0,0,0,0,42,57,0,1,100
803,0,0,0,0,0,42,57,0,1,100
804,0,0,0,0,0,42,57,0,1,100
805,0,0,0,0,0,42,57,0,1,100
774,0,0,0,0,0,42,57,0,1,100
806,0,0,0,0,0,42,57,0,1,100
811,0,0,0,0,0,42,57,0,1,100
818,0,0,0,0,0,42,57,0,1,100
819,0,0,0,0,0,42,57,0,1,100
820,0,0,0,0,0,202,277,0,5,484
821,0,0,0,0,0,2526,3157,0,630,6313
822,0,0,0,0,0,2526,3157,0,630,6313
823,0,0,0,0,0,2526,3157,0,630,6313
824,0,0,0,0,0,2526,3157,0,630,6313
825,0,0,0,0,0,2526,3157,0,630,6313
826,0,0,0,0,0,3314,4141,0,826,8281
827,0,0,0,0,0,2245,2640,0,44,4929
828,0,0,0,0,0,8152,10186,0,2033,20371
829,0,0,0,0,0,2245,2640,0,44,4929
830,0,0,0,0,0,4004,5005,0,999,10008
831,0,0,0,0,0,12626,15778,0,3149,31553
832,0,0,0,0,0,12626,15778,0,3149,31553
833,0,0,0,0,0,12890,16107,0,3215,32212
834,0,0,0,0,0,12890,16107,0,3215,32212
835,0,0,0,0,0,4912,6138,0,1225,12275
836,0,0,0,0,0,3314,4141,0,826,8281
837,0,0,0,0,0,4667,5831,0,1164,11662
838,0,0,0,0,0,4667,5831,0,1164,11662
839,0,0,0,0,0,2526,3157,0,630,6313
840,0,0,0,0,0,4667,5831,0,1164,11662
841,0,0,0,0,0,4667,5831,0,1164,11662
842,0,0,0,0,0,8195,10492,0,1802,20489
843,0,0,0,0,0,8195,10492,0,1802,20489
844,0,0,0,0,0,3398,4246,0,847,8491
845,0,0,0,0,0,3398,4246,0,847,8491
846,0,0,0,0,0,1457,1821,0,363,3641
847,0,0,0,0,0,5678,7683,0,1636,14997
848,0,0,0,0,0,5678,7683,0,1636,14997
