osmid,lanes,name,infra_type,oneway,reversed,length,rfid_c,rfid,avgspeed,time,ref,maxspeed,access,F_EV1_mi,F_EV1_ma,F_EV1_me,F_EV1_fr,road_type,lanes_copy,dam_EV1_al
10869240,2.0,12th Avenue North,residential,False,False,8.312,106,87,47.0,0.0,None,None,None,0.6000000238418579,0.6299999952316284,0.6150000095367432,1.0,other,2.0,897.0
10869240,2.0,12th Avenue North,residential,False,True,12.109,107,420,47.0,0.0,None,None,None,0.5899999737739563,0.6299999952316284,0.6133333444595337,1.0,other,2.0,1304.0
10869240,2.0,12th Avenue North,residential,False,False,14.993,108,87,47.0,0.0,None,None,None,0.5699999928474426,0.6000000238418579,0.5850000381469727,1.0,other,2.0,1559.0
10869240,2.0,12th Avenue North,residential,False,True,8.312,109,420,47.0,0.0,None,None,None,0.6000000238418579,0.6299999952316284,0.6150000095367432,1.0,other,2.0,897.0
10869240,2.0,12th Avenue North,residential,False,False,16.154,110,87,47.0,0.0,None,None,None,0.5,0.5699999928474426,0.5399999618530273,1.0,other,2.0,1584.0
10869240,2.0,12th Avenue North,residential,False,True,14.993,111,420,47.0,0.0,None,None,None,0.5699999928474426,0.6000000238418579,0.5850000381469727,1.0,other,2.0,1559.0
10869240,2.0,12th Avenue North,residential,False,True,16.154,112,420,47.0,0.0,None,None,None,0.5,0.5699999928474426,0.5399999618530273,1.0,other,2.0,1584.0
10874115,2.0,North 9th Street,residential,False,True,43.28,113,87,47.0,0.001,None,None,None,0.5600000023841858,0.6299999952316284,0.5960000038146973,1.0,other,2.0,4562.0
444454376,2.0,2nd Avenue North,residential,False,False,8.027,114,90,47.0,0.0,None,None,None,1.659999966621399,1.690000057220459,1.6749999523162842,1.0,other,2.0,1968.0
444454376,2.0,2nd Avenue North,residential,False,False,7.393,115,91,47.0,0.0,None,None,None,1.7899999618530273,1.7899999618530273,1.7899999618530273,1.0,other,2.0,1883.0
444454376,2.0,2nd Avenue North,residential,False,True,5.876,116,92,47.0,0.0,None,None,None,1.7899999618530273,1.940000057220459,1.8650000095367432,1.0,other,2.0,1533.0
683228866,2.0,2nd Street North,residential,False,False,11.915,117,93,40.0,0.0,None,25 mph,None,1.7899999618530273,1.940000057220459,1.8799999554951985,1.0,other,2.0,3123.0
683228866,2.0,2nd Street North,residential,False,True,10.173,118,94,40.0,0.0,None,25 mph,None,1.7899999618530273,1.899999976158142,1.8450000286102295,1.0,other,2.0,2637.0
10874185,2.0,3rd Street North,primary,True,False,51.14,119,95,56.0,0.001,FL A1A,35 mph,None,1.7599999904632568,1.9199999570846558,1.8485713686261858,1.0,primary,2.0,66360.0
444454376,2.0,2nd Avenue North,residential,False,True,9.115,120,96,47.0,0.0,None,None,None,1.8300000429153442,2.0399999618530273,1.9600000381469727,1.0,other,2.0,2449.0
10873111,2.0,North 4th Street,residential,False,False,55.574,121,98,47.0,0.001,None,None,None,1.850000023841858,1.940000057220459,1.8925001621246338,1.0,other,2.0,14624.0
10873111,2.0,North 4th Street,residential,False,True,52.825,122,99,47.0,0.001,None,None,None,1.6200000047683716,1.9700000286102295,1.8242859159197127,1.0,other,2.0,13604.0
351754106,2.0,2nd Avenue North,residential,False,False,106.786,123,97,47.0,0.002,None,None,None,1.5499999523162842,1.909999966621399,1.7473332722981771,1.0,other,2.0,26823.0
351754106,2.0,2nd Avenue North,residential,False,True,92.465,124,100,47.0,0.002,None,None,None,1.7000000476837158,2.0,1.8746153024526744,1.0,other,2.0,24195.0
351669862,2.0,North 5th Street,residential,False,False,66.159,125,104,47.0,0.001,None,None,None,1.3600000143051147,1.590000033378601,1.4655556148952908,1.0,other,2.0,14940.0
351669862,2.0,North 5th Street,residential,False,True,105.225,126,101,47.0,0.002,None,None,None,1.350000023841858,1.5499999523162842,1.4615384615384615,1.0,other,2.0,23700.0
351754106,2.0,2nd Avenue North,residential,False,False,106.836,127,102,47.0,0.002,None,None,None,1.100000023841858,1.5499999523162842,1.3214285714285714,1.0,other,2.0,21895.0
351754106,2.0,2nd Avenue North,residential,False,True,106.786,128,103,47.0,0.002,None,None,None,1.5499999523162842,1.909999966621399,1.7473332722981771,1.0,other,2.0,26823.0
10883745,2.0,North 6th Street,residential,False,False,103.156,129,105,47.0,0.002,None,None,None,0.9700000286102295,1.1399999856948853,1.0723077333890474,1.0,other,2.0,17420.0
10883745,2.0,North 6th Street,residential,False,True,104.784,130,106,47.0,0.002,None,None,None,1.0099999904632568,1.3600000143051147,1.132857050214495,1.0,other,2.0,18614.0
351754106,2.0,2nd Avenue North,residential,False,False,106.33,131,107,47.0,0.002,None,None,None,0.9100000262260437,1.25,1.0480000178019206,1.0,other,2.0,17582.0
351754106,2.0,2nd Avenue North,residential,False,True,106.836,132,108,47.0,0.002,None,None,None,1.100000023841858,1.5499999523162842,1.3214285714285714,1.0,other,2.0,21895.0
10884265,2.0,7th Street North,residential,False,False,61.522,133,110,47.0,0.001,None,None,None,0.7900000214576721,1.25,0.8799999952316284,1.0,other,2.0,8776.0
10884265,2.0,7th Street North,residential,False,True,60.989,134,111,47.0,0.001,None,None,None,1.090000033378601,1.3799999952316284,1.2262500524520874,1.0,other,2.0,11659.0
351754106,2.0,2nd Avenue North,residential,False,False,14.48,135,112,47.0,0.0,None,None,None,0.8100000023841858,1.25,0.997499942779541,1.0,other,2.0,2289.0
351754106,2.0,2nd Avenue North,residential,False,True,106.33,136,109,47.0,0.002,None,None,None,0.9100000262260437,1.25,1.0480000178019206,1.0,other,2.0,17582.0
10880336,2.0,North 8th Street,residential,False,False,104.693,137,113,47.0,0.002,None,None,None,1.0399999618530273,1.5,1.2584615854116588,1.0,other,2.0,20502.0
10880336,2.0,North 8th Street,residential,False,True,45.263,138,115,47.0,0.001,None,None,None,0.8799999952316284,1.3300000429153442,1.2083333333333333,1.0,other,2.0,8535.0
351754106,2.0,2nd Avenue North,residential,False,False,107.833,139,114,47.0,0.002,None,None,None,0.8999999761581421,1.3300000429153442,1.0853333791097006,1.0,other,2.0,18413.0
351754106,2.0,2nd Avenue North,residential,False,True,11.062,140,116,47.0,0.0,None,None,None,1.3200000524520874,1.3300000429153442,1.3250000476837158,1.0,other,2.0,2273.0
10874111,2.0,North 9th Street,residential,False,False,104.07,141,117,47.0,0.002,None,None,None,0.47999998927116394,0.9399999976158142,0.5992307296166053,1.0,other,2.0,11013.0
10874111,2.0,North 9th Street,residential,False,True,55.184,142,120,47.0,0.001,None,None,None,0.6200000047683716,0.9399999976158142,0.8085714067731585,1.0,other,2.0,7355.0
351754106,2.0,2nd Avenue North,residential,False,False,106.065,143,118,47.0,0.002,None,None,None,0.4399999976158142,0.9399999976158142,0.6573333104451498,1.0,other,2.0,12032.0
351754106,2.0,2nd Avenue North,residential,False,True,107.833,144,119,47.0,0.002,None,None,None,0.8999999761581421,1.3300000429153442,1.0853333791097006,1.0,other,2.0,18413.0
10886114,2.0,North 10th Street,residential,False,False,103.268,145,121,56.0,0.002,None,35 mph,None,0.20999999344348907,0.5299999713897705,0.3800000044015738,1.0,other,2.0,7283.0
10886114,2.0,North 10th Street,residential,False,True,103.493,146,122,56.0,0.002,None,35 mph,None,0.28999999165534973,0.6499999761581421,0.4569230813246507,1.0,other,2.0,8777.0
351754106,2.0,2nd Avenue North,residential,False,False,56.452,147,124,47.0,0.001,None,None,None,0.4099999964237213,0.44999998807907104,0.4214285782405308,1.0,other,2.0,4416.0
