u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP100_me,RP100_fr,RP1000_me,RP1000_fr,dam_RP1000_HZ_segments,dam_RP1000_HZ,dam_RP100_HZ_segments,dam_RP100_HZ,risk_HZ_segments,risk_HZ,name,junction
847933560,1470642590,0,"[720131696, 71234475, 176191796, 720131695]",True,nan,nan,secondary,50,False,121.624,"[2304, 258, 1027, 260, 1030, 263, 264, 927, 2464, 2721, 929, 2722, 1964, 1965, 1966, 1967, 1972, 965, 1230, 1231, 997, 1782, 2555, 2556, 1023]",65,50.0,0.002,nan,4.072727272727272,1.0,5.0,1.0,"[2916.9, 803.02, 1228.5, 852.3, 737.78, 594.9, 352.35, 1948.5, 783.22, 1143.9, 881.1, 727.65, 379.58, 638.33, 1065.15, 4806.23, 1435.28, 539.55, 631.12, 1019.7, 899.78, 1348.65, 389.7, 350.1, 892.12]",27365.41,"[5833.8, nan, 1228.5, 852.3, 737.78, 249.86, 147.99, 1948.5, 1143.51, 1143.9, 881.1, 727.65, nan, 319.16, 852.12, 4613.98, 1363.51, 226.61, 315.56, nan, 377.91, 1348.65, nan, 175.05, 2118.8]",26606.24,"[596.51, 4.42, 128.99, 89.49, 77.47, 28.13, 16.66, 204.59, 118.09, 120.11, 92.52, 76.4, 2.09, 35.27, 90.64, 485.53, 143.56, 25.52, 34.87, 5.61, 42.55, 141.61, 2.14, 19.34, 215.73]",2797.84,Bunderstraat,roundabout
847933560,6153690991,0,71234476,True,nan,nan,secondary_link,50,False,45.454000000000015,"[928, 2560, 930, 931, 932, 1955, 2561, 1018, 2558, 2559]",66,50.0,0.001,nan,5.0,1.0,5.0,1.0,"[1784.02, 269.32, 669.82, 2042.1, 261.45, 315.23, 258.98, 1050.75, 3079.12, 496.35]",10227.14,"[1784.02, 269.32, 669.82, 2042.1, 261.45, 315.23, 258.98, 2626.88, 3079.12, 496.35]",11803.27,"[187.32, 28.28, 70.33, 214.42, 27.45, 33.1, 27.19, 267.15, 323.31, 52.12]",1230.67,Bunderstraat,nan
859543703,2587147871,0,"[490065922, 6779107, 951696835, 284802954, 284803024]",True,"['2', '3']",A2,motorway,100,False,492.062,"[1349, 1414, 1350, 1351, 1353, 1354, 1355, 1356, 1708, 1358, 1618, 1823, 1334, 1336, 2202, 956, 1343]",67,100.0,0.005,yes,1.0,1.0,1.5454545454545454,1.0,"[6549.42, 4231.1, nan, 3964.5, nan, nan, nan, nan, nan, nan, nan, 7704.74, nan, nan, nan, nan, nan]",22449.76,"[6549.42, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4978.45, nan, nan, nan, nan, nan]",11527.87,"[687.69, 23.27, 0.0, 21.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 537.73, 0.0, 0.0, 0.0, 0.0, 0.0]",1270.49,nan,nan
859543703,3441582565,0,"[587459361, 294298502, 284802950, 294298503]",True,"['2', '1']",A2,motorway_link,100,False,525.486,"[2170, 1770, 1707, 1646, 1301, 1302, 1303, 1305, 1306, 1307, 957, 1502, 1503]",68,100.0,0.005,viaduct,1.9,1.0,2.5806451612903225,1.0,"[nan, nan, nan, nan, 5387.77, 1595.34, 6990.85, 3189.96, 3096.19, nan, nan, nan, 11435.16]",31695.27,"[nan, nan, nan, nan, nan, nan, 10755.15, 2324.33, 3096.19, nan, nan, nan, 10901.02]",27076.69,"[0.0, 0.0, 0.0, 0.0, 29.63, 8.77, 1108.59, 248.82, 325.1, 0.0, 0.0, 0.0, 1147.54]",2868.45,nan,nan
859543718,10036651839,0,1095936814,True,1,nan,secondary,50,False,31.35,"[2439, 2440, 971, 1881, 2460]",70,50.0,0.001,nan,1.1538461538461537,1.0,3.5652173913043477,1.0,"[654.53, 984.19, 933.6, 471.82, 286.87]",3331.01,"[nan, 675.43, 481.97, 220.18, 139.02]",1516.6,"[3.6, 72.62, 53.09, 24.5, 15.41]",169.22,Maastrichterweg,nan
859543718,9646103568,0,6779704,True,1,nan,secondary,50,False,23.619,"[2310, 2311, 2312, 2313, 969, 2314, 2315, 237, 234, 2316, 881, 1044]",122,50.0,0.0,nan,1.5,1.0,3.6363636363636362,1.0,"[154.78, 190.4, 201.98, 305.77, 153.89, 190.4, 237.75, 189.8, 238.25, 237.12, 154.29, 224.56]",2478.99,"[nan, nan, nan, nan, nan, nan, 178.31, nan, 238.25, 139.9, nan, 99.28]",655.74,"[0.85, 1.05, 1.11, 1.68, 0.85, 1.05, 19.05, 1.04, 25.02, 15.22, 0.85, 11.11]",78.88,Knooppunt Hoolhuis,roundabout
860028311,10024605460,0,"[435551040, 6779081, 6779083, 948868235, 6779085, 6779088]",True,2,A79,motorway,100,False,1167.0210000000002,"[129, 134, 138, 139, 140, 141, 2199, 1589, 1590, 1592, 1593, 1594, 979, 983, 87, 984, 2395, 1128, 109, 111, 117, 120]",71,100.0,0.012,yes,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,nan,nan
860028311,10024583900,0,"[435551041, 1094518827, 6778693, 27283429]",True,"['2', '3']",A79,motorway,100,False,1224.9279999999999,"[2211, 2157, 2158, 47, 48, 49, 2391, 2392, 1595, 59, 1598]",123,100.0,0.012,nan,1.9228295819935692,1.0,2.1451612903225805,1.0,"[11235.52, 12274.45, 11060.51, nan, 11809.27, 50339.44, 30860.24, nan, 35520.21, 77249.79, 23833.63]",264183.06,"[14852.15, 15274.88, 10026.07, nan, 8591.94, 45243.15, 26417.2, nan, 37799.32, 88707.64, 19146.72]",266059.07,"[1539.58, 1587.36, 1058.43, 0.0, 919.85, 4778.56, 2798.24, 0.0, 3956.39, 9251.28, 2036.18]",27925.87,nan,nan
931725785,8626619502,0,182723360,True,nan,nan,secondary,50,False,10.161,"[1944, 2193, 2188, 2173]",117,50.0,0.0,nan,,1.0,,1.0,"[nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,Witte Hoek,roundabout
931755857,10036651839,0,6779708,False,2,nan,secondary,50,True,186.399,"[224, 228, 1736, 2444, 2293, 1142, 2295, 2297, 2299, 2301, 2303]",126,50.0,0.004,nan,1.9,1.0,2.735042735042735,1.0,"[5869.5, 636.54, 2528.42, 583.24, 1389.06, 4075.97, 3716.24, 1533.36, 6864.79, 3334.16, 675.68]",31206.96,"[6104.28, nan, 1872.9, nan, nan, 3315.77, 2204.19, 1369.07, 4176.24, 4793.99, nan]",23836.44,"[639.66, 3.5, 200.26, 3.21, 7.64, 352.34, 239.76, 144.66, 453.29, 495.34, 3.72]",2543.38,Maastrichterweg,nan
