u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,risk_al_segments,risk_al,maxspeed,ref,access,junction
99278063,99397078,0,11163427,residential,nan,Michigan Avenue,False,True,138.2534580441984,"[6072, 7030, 1560, 4218, 4216]",1025,43.0,0.003,nan,0.2549999952316284,1.0,1.0575000047683716,1.0,0.8318749070167542,1.0,"[np.float64(555.0), np.float64(268.0), np.float64(2627.0), np.float64(5723.0), np.float64(2123.0)]",11296.0,"[np.float64(452.0), np.float64(227.0), np.float64(2147.0), np.float64(4959.0), np.float64(1832.0)]",9617.0,"[np.float64(124.0), np.float64(81.0), np.float64(552.0), np.float64(1971.0), np.float64(716.0)]",3444.0,"[np.float64(299.29), np.float64(158.88), np.float64(1403.78), np.float64(3562.62), np.float64(1310.63)]",6735.2,nan,nan,nan,nan
99278063,2637835853,0,1337638069,residential,nan,2nd Street,False,True,26.144621387636654,"[2544, 2770, 6068]",1231,43.0,0.001,nan,0.11999999731779099,0.4704003837003424,0.8650000095367432,1.0,0.637499988079071,1.0,"[np.float64(585.0), np.float64(1027.0), np.float64(248.0)]",1860.0,"[np.float64(459.0), np.float64(822.0), np.float64(196.0)]",1477.0,"[np.float64(nan), np.float64(141.0), np.float64(nan)]",141.0,"[np.float64(244.75), np.float64(504.67), np.float64(104.46)]",853.88,nan,nan,destination,nan
99278203,99281382,0,"[11169976, 11148472]",residential,nan,"['Lake Avenue', 'West 28th Street']",True,False,160.41297347249292,"[1194, 1204, 2454, 2456, 4188, 4189]",784,43.0,0.004,nan,,0.0,0.7555555767483182,1.0,0.5155555937025282,1.0,"[np.float64(5377.0), np.float64(383.0), np.float64(375.0), np.float64(3483.0), np.float64(418.0), np.float64(371.0)]",10407.0,"[np.float64(4120.0), np.float64(297.0), np.float64(256.0), np.float64(2645.0), np.float64(329.0), np.float64(266.0)]",7913.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2200.71), np.float64(158.5), np.float64(137.97), np.float64(1413.76), np.float64(175.4), np.float64(142.8)]",4229.14,nan,nan,private,nan
99281382,9409469904,0,1020207047,residential,nan,Lake Avenue,True,False,24.86528429415135,1206,785,43.0,0.001,nan,,0.0,0.9100000063578287,1.0,0.6699999968210856,1.0,[np.float64(1846.0)],1846.0,[np.float64(1464.0)],1464.0,[np.float64(nan)],0.0,[np.float64(780.06)],780.06,nan,nan,private,nan
99281752,99387285,0,128495139,primary,3,Collins Avenue,True,False,77.61939130865365,"[1208, 4438, 6431]",788,56.0,0.001,nan,0.2179999828338623,0.8654214071437586,1.0754545385187322,1.0,0.8554545315829191,1.0,"[np.float64(7588.0), np.float64(16955.0), np.float64(22982.0)]",47525.0,"[np.float64(6205.0), np.float64(15031.0), np.float64(19532.0)]",40768.0,"[np.float64(234.0), np.float64(5117.0), np.float64(4815.0)]",10166.0,"[np.float64(3410.26), np.float64(10379.57), np.float64(12644.92)]",26434.75,35 mph,FL A1A,nan,nan
99281752,4317226053,0,"[1380576352, 1023225818]",residential,2,27th Street,False,False,93.04442845038578,"[4544, 4546, 3436, 3446, 6429]",1474,43.0,0.002,nan,0.12999999523162842,0.17044306228293657,0.6225000222524008,0.9314002412365205,0.5466666221618652,0.6539871568167297,"[np.float64(2186.0), np.float64(1140.0), np.float64(299.0), np.float64(199.0), np.float64(650.0)]",4474.0,"[np.float64(1714.0), np.float64(529.0), np.float64(251.0), np.float64(nan), np.float64(532.0)]",3026.0,"[np.float64(78.0), np.float64(nan), np.float64(53.0), np.float64(nan), np.float64(84.0)]",215.0,"[np.float64(951.06), np.float64(296.05), np.float64(158.39), np.float64(5.97), np.float64(322.74)]",1734.21,nan,nan,nan,nan
99284012,1327162832,0,11159581,residential,2,Washington Avenue,True,False,74.94362399602711,"[1211, 2628, 1973, 5767]",790,43.0,0.002,nan,0.1862500011920929,0.831163664655997,1.018000030517578,1.0,0.775,1.0,"[np.float64(572.0), np.float64(1262.0), np.float64(3005.0), np.float64(1216.0)]",6055.0,"[np.float64(496.0), np.float64(1004.0), np.float64(2478.0), np.float64(1016.0)]",4994.0,"[np.float64(170.0), np.float64(64.0), np.float64(603.0), np.float64(271.0)]",1108.0,"[np.float64(343.43), np.float64(565.24), np.float64(1603.18), np.float64(668.12)]",3179.97,nan,nan,nan,nan
99285698,2912184933,0,1024445108,residential,nan,7th Street,False,False,11.116745910790309,2583,1252,43.0,0.0,nan,,0.0,0.5149999856948853,1.0,0.3050000071525574,1.0,[np.float64(544.0)],544.0,[np.float64(325.0)],325.0,[np.float64(nan)],0.0,[np.float64(177.2)],177.2,nan,nan,nan,nan
99285698,99310427,0,585412297,secondary,1,Washington Avenue,True,False,143.99416614484247,"[5924, 1221, 5894, 4335]",793,56.0,0.003,nan,,0.0,0.43611110581292045,1.0,0.23647058711332433,0.9721978055367828,"[np.float64(776.0), np.float64(775.0), np.float64(2217.0), np.float64(3636.0)]",7404.0,"[np.float64(422.0), np.float64(445.0), np.float64(1201.0), np.float64(1750.0)]",3818.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(232.17), np.float64(243.52), np.float64(661.0), np.float64(975.33)]",2112.02,35 mph,nan,nan,nan
99285698,99368714,0,"[1024445106, 1024445107]",secondary,"['3', '2']",Washington Avenue,True,False,139.0799024203873,"[5890, 1924, 5898, 1490, 5343]",982,56.0,0.002,nan,,0.0,0.504705877865062,1.0,0.29235295688404755,1.0,"[np.float64(2067.0), np.float64(3260.0), np.float64(7479.0), np.float64(1063.0), np.float64(5602.0)]",19471.0,"[np.float64(1339.0), np.float64(1931.0), np.float64(4339.0), np.float64(467.0), np.float64(3703.0)]",11779.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(724.82), np.float64(1053.64), np.float64(2372.18), np.float64(263.06), np.float64(2001.04)]",6414.74,35 mph,nan,nan,nan
99285708,99285710,0,424894272,residential,nan,7th Street,False,True,119.34227195166054,"[2160, 6179, 1235, 6142]",800,43.0,0.003,nan,,0.0,0.6400000027247837,1.0,0.440000057220459,1.0,"[np.float64(2699.0), np.float64(2973.0), np.float64(572.0), np.float64(556.0)]",6800.0,"[np.float64(1879.0), np.float64(2290.0), np.float64(450.0), np.float64(417.0)]",5036.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(1011.08), np.float64(1222.74), np.float64(239.91), np.float64(223.1)]",2696.83,nan,nan,nan,nan
99285710,99310438,0,424892140,residential,nan,Lenox Avenue,False,False,137.766810648831,"[6125, 6180, 1365]",889,43.0,0.003,nan,0.1559999942779541,0.3720890153070625,0.8164285932268415,1.0,0.6114285332815987,1.0,"[np.float64(8533.0), np.float64(388.0), np.float64(588.0)]",9509.0,"[np.float64(6903.0), np.float64(307.0), np.float64(488.0)]",7698.0,"[np.float64(656.0), np.float64(nan), np.float64(158.0)]",814.0,"[np.float64(3984.58), np.float64(163.6), np.float64(334.25)]",4482.43,nan,nan,nan,nan
99285710,99285712,0,424894272,residential,nan,7th Street,False,True,59.640894505890934,"[6183, 1239]",804,43.0,0.001,nan,0.10000000397364299,0.7861077392131409,0.8224999904632568,1.0,0.6174999475479126,1.0,"[np.float64(601.0), np.float64(3495.0)]",4096.0,"[np.float64(479.0), np.float64(2836.0)]",3315.0,"[np.float64(nan), np.float64(450.0)]",450.0,"[np.float64(255.14), np.float64(1722.42)]",1977.56,nan,nan,nan,nan
99285712,99410567,0,11165236,residential,nan,Lenox Court,False,True,137.80711572302238,"[6177, 6175, 1663]",1060,43.0,0.003,nan,0.10428571701049805,0.47790241890410723,0.7621428625924247,1.0,0.5557143007005964,1.0,"[np.float64(8033.0), np.float64(557.0), np.float64(414.0)]",9004.0,"[np.float64(6394.0), np.float64(453.0), np.float64(332.0)]",7179.0,"[np.float64(521.0), np.float64(96.0), np.float64(35.0)]",652.0,"[np.float64(3653.5), np.float64(286.54), np.float64(193.38)]",4133.42,nan,nan,nan,nan
99285712,99310442,0,11165236,residential,nan,Lenox Court,False,False,137.33084119345295,"[6562, 3768, 3766, 1368, 6170, 6172]",892,43.0,0.003,nan,0.27666666110356647,0.3261237142103181,0.8112500309944153,1.0,0.6024999618530273,1.0,"[np.float64(2126.0), np.float64(4268.0), np.float64(1042.0), np.float64(619.0), np.float64(727.0), np.float64(397.0)]",9179.0,"[np.float64(1638.0), np.float64(3364.0), np.float64(879.0), np.float64(560.0), np.float64(644.0), np.float64(321.0)]",7406.0,"[np.float64(nan), np.float64(289.0), np.float64(328.0), np.float64(282.0), np.float64(300.0), np.float64(28.0)]",1227.0,"[np.float64(874.59), np.float64(1930.5), np.float64(622.16), np.float64(429.72), np.float64(483.09), np.float64(184.1)]",4524.16,nan,nan,nan,nan
99285712,604127396,0,424894272,residential,nan,7th Street,False,True,55.15827239765795,"[1744, 4317, 6167]",1084,43.0,0.001,nan,0.17999999863760813,1.0,0.9328571728297642,1.0,0.7257142748151507,1.0,"[np.float64(457.0), np.float64(906.0), np.float64(2819.0)]",4182.0,"[np.float64(373.0), np.float64(739.0), np.float64(2339.0)]",3451.0,"[np.float64(81.0), np.float64(167.0), np.float64(721.0)]",969.0,"[np.float64(236.82), np.float64(472.31), np.float64(1584.85)]",2293.98,nan,nan,nan,nan
99285744,4243836216,0,11149063,residential,nan,Jefferson Avenue,False,True,39.967571266206775,"[5416, 2972, 6956]",1371,43.0,0.001,nan,0.05999999741713206,0.7715907845379858,0.8149999777475992,1.0,0.625,1.0,"[np.float64(1470.0), np.float64(641.0), np.float64(625.0)]",2736.0,"[np.float64(1211.0), np.float64(526.0), np.float64(514.0)]",2251.0,"[np.float64(123.0), np.float64(18.0), np.float64(37.0)]",178.0,"[np.float64(701.97), np.float64(288.15), np.float64(290.76)]",1280.88,nan,nan,nan,nan
99285746,4243829422,0,425091536,residential,2,Jefferson Avenue,False,True,158.81935874197447,"[2001, 5522, 2963, 1975, 1017, 5213]",1364,43.0,0.004,nan,0.10999999727521624,0.4141276494729282,0.8349999851650662,1.0,0.6405555407206217,1.0,"[np.float64(977.0), np.float64(865.0), np.float64(131.0), np.float64(4907.0), np.float64(789.0), np.float64(3442.0)]",11111.0,"[np.float64(801.0), np.float64(718.0), np.float64(104.0), np.float64(4051.0), np.float64(650.0), np.float64(2808.0)]",9132.0,"[np.float64(nan), np.float64(55.0), np.float64(nan), np.float64(622.0), np.float64(nan), np.float64(nan)]",677.0,"[np.float64(425.8), np.float64(407.48), np.float64(55.41), np.float64(2447.9), np.float64(345.42), np.float64(1493.22)]",5175.23,nan,nan,nan,nan
99285746,4243836216,0,425091536,residential,2,Jefferson Avenue,False,False,174.57545119807435,"[5417, 2973, 5519]",1372,43.0,0.004,nan,0.10214285339627947,0.8009421869095844,0.8555555873446994,1.0,0.6650000148349338,1.0,"[np.float64(10760.0), np.float64(802.0), np.float64(781.0)]",12343.0,"[np.float64(8906.0), np.float64(654.0), np.float64(654.0)]",10214.0,"[np.float64(1233.0), np.float64(nan), np.float64(150.0)]",1383.0,"[np.float64(5316.94), np.float64(347.79), np.float64(418.41)]",6083.14,nan,nan,nan,nan
99285746,99290780,0,855875288,residential,2,16th Street,False,True,112.42456506080849,"[5524, 1315, 5508]",863,43.0,0.003,nan,0.10999999443689983,0.9176741794600822,0.8800000410813552,1.0,0.6830769318800706,1.0,"[np.float64(647.0), np.float64(664.0), np.float64(6817.0)]",8128.0,"[np.float64(540.0), np.float64(552.0), np.float64(5619.0)]",6711.0,"[np.float64(110.0), np.float64(134.0), np.float64(838.0)]",1082.0,"[np.float64(338.96), np.float64(356.81), np.float64(3383.96)]",4079.73,nan,nan,nan,nan
99285746,4244180517,0,855875288,residential,2,16th Street,False,False,111.07401596890165,"[5400, 3011, 5517]",1386,43.0,0.003,nan,0.20769229302039513,1.0,0.9869230710543119,1.0,0.7946154521061823,1.0,"[np.float64(7387.0), np.float64(740.0), np.float64(645.0)]",8772.0,"[np.float64(6241.0), np.float64(653.0), np.float64(538.0)]",7432.0,"[np.float64(1864.0), np.float64(258.0), np.float64(102.0)]",2224.0,"[np.float64(4196.3), np.float64(467.98), np.float64(334.11)]",4998.39,nan,nan,nan,nan
99285759,2637835811,0,258423127,residential,2,Jefferson Avenue,False,True,14.599928229031285,2538,1226,43.0,0.0,nan,0.21000000834465027,1.0,1.0449999570846558,1.0,0.8100000023841858,1.0,[np.float64(1189.0)],1189.0,[np.float64(990.0)],990.0,[np.float64(294.0)],294.0,[np.float64(665.37)],665.37,nan,nan,nan,nan
99285759,2637835811,1,"[258423158, 258423159]",residential,2,1st Street,True,False,149.15905953465148,"[6051, 2533, 2534, 2536, 2537, 2539, 3668, 4537]",1227,43.0,0.003,nan,0.24066667556762694,1.0,1.0719999949137369,1.0,0.8393333435058594,1.0,"[np.float64(739.0), np.float64(861.0), np.float64(1044.0), np.float64(957.0), np.float64(739.0), np.float64(572.0), np.float64(3961.0), np.float64(3437.0)]",12310.0,"[np.float64(638.0), np.float64(747.0), np.float64(902.0), np.float64(827.0), np.float64(653.0), np.float64(483.0), np.float64(3312.0), np.float64(2911.0)]",10473.0,"[np.float64(234.0), np.float64(281.0), np.float64(331.0), np.float64(303.0), np.float64(268.0), np.float64(154.0), np.float64(1025.0), np.float64(956.0)]",3552.0,"[np.float64(449.13), np.float64(529.07), np.float64(635.04), np.float64(582.0), np.float64(472.7), np.float64(329.4), np.float64(2245.14), np.float64(1998.15)]",7240.63,nan,nan,nan,nan
99285759,99368690,0,"[258423126, 258423127]",residential,2,"['Jefferson Avenue', 'Commerce Street']",False,"[False, True]",242.19799939381875,"[4448, 2625, 2626, 6052, 2631, 2633, 5771, 1487, 2771, 2774, 2777, 2780, 4445, 1246, 2783]",979,43.0,0.006,nan,0.1721739147020423,0.8173833765483672,0.9906896393874596,1.0,0.7520689471014614,1.0,"[np.float64(267.0), np.float64(5167.0), np.float64(2630.0), np.float64(705.0), np.float64(293.0), np.float64(244.0), np.float64(5290.0), np.float64(643.0), np.float64(410.0), np.float64(298.0), np.float64(661.0), np.float64(220.0), np.float64(1528.0), np.float64(349.0), np.float64(374.0)]",19079.0,"[np.float64(218.0), np.float64(4137.0), np.float64(2121.0), np.float64(579.0), np.float64(235.0), np.float64(200.0), np.float64(4438.0), np.float64(511.0), np.float64(339.0), np.float64(246.0), np.float64(535.0), np.float64(177.0), np.float64(1225.0), np.float64(280.0), np.float64(306.0)]",15547.0,"[np.float64(54.0), np.float64(626.0), np.float64(377.0), np.float64(155.0), np.float64(66.0), np.float64(51.0), np.float64(1324.0), np.float64(nan), np.float64(92.0), np.float64(67.0), np.float64(121.0), np.float64(19.0), np.float64(193.0), np.float64(50.0), np.float64(76.0)]",3271.0,"[np.float64(141.57), np.float64(2500.17), np.float64(1307.87), np.float64(381.38), np.float64(156.46), np.float64(130.54), np.float64(2984.41), np.float64(272.24), np.float64(223.8), np.float64(162.54), np.float64(342.13), np.float64(103.24), np.float64(743.89), np.float64(172.82), np.float64(198.79)]",9821.85,nan,nan,nan,nan
99285759,99311848,0,258423158,residential,2,1st Street,True,False,108.32637627303505,"[6057, 1250, 6054]",812,43.0,0.003,nan,0.15153846373924842,1.0,0.9938460863553561,1.0,0.7584615854116586,1.0,"[np.float64(603.0), np.float64(640.0), np.float64(7356.0)]",8599.0,"[np.float64(501.0), np.float64(526.0), np.float64(5960.0)]",6987.0,"[np.float64(142.0), np.float64(144.0), np.float64(1283.0)]",1569.0,"[np.float64(333.54), np.float64(347.97), np.float64(3780.3)]",4461.81,nan,nan,nan,nan
99285765,99285767,0,424827766,residential,nan,Jefferson Avenue,False,True,137.17212351637514,"[6040, 6111, 7034, 1255]",817,43.0,0.003,nan,,0.0,0.6535714013235909,1.0,0.4328571728297642,1.0,"[np.float64(6993.0), np.float64(409.0), np.float64(168.0), np.float64(393.0)]",7963.0,"[np.float64(4998.0), np.float64(308.0), np.float64(125.0), np.float64(307.0)]",5738.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2683.8), np.float64(164.73), np.float64(66.92), np.float64(163.76)]",3079.21,nan,nan,nan,nan
99285765,99397078,0,534799474,residential,nan,3rd Street,False,True,111.4688122041491,"[6465, 2116, 1561, 7036, 6109]",1026,40.0,0.003,nan,0.2824999988079071,0.5907829416445339,0.965384630056528,1.0,0.7453846564659705,1.0,"[np.float64(278.0), np.float64(3252.0), np.float64(674.0), np.float64(3677.0), np.float64(605.0)]",8486.0,"[np.float64(254.0), np.float64(2598.0), np.float64(581.0), np.float64(3212.0), np.float64(469.0)]",7114.0,"[np.float64(129.0), np.float64(126.0), np.float64(231.0), np.float64(1327.0), np.float64(nan)]",1813.0,"[np.float64(195.34), np.float64(1443.42), np.float64(417.54), np.float64(2330.58), np.float64(250.3)]",4637.18,25 mph,nan,nan,nan
99285765,99408965,0,534799474,residential,nan,3rd Street,False,False,112.83566862915785,"[6112, 2117, 6037, 1598, 7039]",1039,40.0,0.003,nan,0.0949999988079071,0.3281445086463859,0.8107142448425293,1.0,0.5864286422729492,1.0,"[np.float64(573.0), np.float64(3261.0), np.float64(308.0), np.float64(634.0), np.float64(2927.0)]",7703.0,"[np.float64(441.0), np.float64(2582.0), np.float64(241.0), np.float64(497.0), np.float64(2318.0)]",6079.0,"[np.float64(nan), np.float64(256.0), np.float64(nan), np.float64(nan), np.float64(82.0)]",338.0,"[np.float64(235.48), np.float64(1497.52), np.float64(128.54), np.float64(265.03), np.float64(1274.17)]",3400.74,25 mph,nan,nan,nan
99285767,99408969,0,424832294,residential,2,4th Street,False,True,112.46123900864673,"[1602, 2107, 6030, 6042]",1043,43.0,0.003,nan,,0.0,0.5671428271702358,1.0,0.37230770404522234,0.9176971777323778,"[np.float64(512.0), np.float64(2050.0), np.float64(2678.0), np.float64(572.0)]",5812.0,"[np.float64(348.0), np.float64(1000.0), np.float64(1896.0), np.float64(448.0)]",3692.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(187.62), np.float64(556.5), np.float64(1018.86), np.float64(238.92)]",2001.9,nan,nan,nan,nan
99285767,99397081,0,424832294,residential,2,4th Street,False,False,112.60314170269805,"[6043, 2123, 3824, 1563, 6077]",1028,43.0,0.003,nan,0.2566666603088379,0.7087591314393201,0.93000001173753,1.0,0.7138461333054763,1.0,"[np.float64(543.0), np.float64(1846.0), np.float64(1277.0), np.float64(765.0), np.float64(3874.0)]",8305.0,"[np.float64(394.0), np.float64(1497.0), np.float64(922.0), np.float64(697.0), np.float64(3321.0)]",6831.0,"[np.float64(nan), np.float64(310.0), np.float64(nan), np.float64(350.0), np.float64(1257.0)]",1917.0,"[np.float64(211.32), np.float64(943.64), np.float64(494.7), np.float64(534.22), np.float64(2357.19)]",4541.07,nan,nan,nan,nan
99285767,618402022,0,424892141,residential,2,Jefferson Avenue,False,True,83.06961288820463,"[3827, 6046, 6022, 1911]",1133,43.0,0.002,nan,0.14249999821186066,0.9805146727533086,0.9099999533759223,1.0,0.6966666115654839,1.0,"[np.float64(2903.0), np.float64(496.0), np.float64(1878.0), np.float64(916.0)]",6193.0,"[np.float64(2367.0), np.float64(396.0), np.float64(1541.0), np.float64(762.0)]",5066.0,"[np.float64(444.0), np.float64(38.0), np.float64(329.0), np.float64(237.0)]",1048.0,"[np.float64(1469.66), np.float64(228.95), np.float64(975.41), np.float64(517.24)]",3191.26,nan,nan,nan,nan
99285781,99285784,0,586224931,residential,nan,Jefferson Avenue,True,False,30.08840206083963,1262,822,43.0,0.001,nan,0.18250000476837158,1.0,1.0399999618530273,1.0,0.7899999618530273,1.0,[np.float64(2446.0)],2446.0,[np.float64(2003.0)],2003.0,[np.float64(527.0)],527.0,[np.float64(1315.19)],1315.19,nan,nan,nan,nan
99285781,5887585865,0,623420543,residential,nan,Jefferson Avenue,True,False,29.521561033273667,"[4180, 1263]",823,43.0,0.001,nan,0.20833333333333334,1.0,1.0666666825612385,1.0,0.8166666825612386,1.0,"[np.float64(826.0), np.float64(1604.0)]",2430.0,"[np.float64(693.0), np.float64(1334.0)]",2027.0,"[np.float64(214.0), np.float64(394.0)]",608.0,"[np.float64(469.46), np.float64(895.6)]",1365.06,nan,nan,nan,nan
99285781,4198297350,0,586224931,residential,nan,Jefferson Avenue,True,False,24.366844775589414,"[2749, 2750]",1309,43.0,0.001,nan,0.2175000011920929,1.0,1.0724999904632568,1.0,0.8224999904632568,1.0,"[np.float64(872.0), np.float64(1137.0)]",2009.0,"[np.float64(732.0), np.float64(947.0)]",1679.0,"[np.float64(233.0), np.float64(283.0)]",516.0,"[np.float64(499.18), np.float64(637.3)]",1136.48,nan,nan,nan,nan
99285784,5887585865,0,534855339,residential,nan,West 42nd Street,False,True,19.447096951377148,4182,1534,43.0,0.0,nan,0.15333333611488342,1.0,1.0133333206176758,1.0,0.7633333206176758,1.0,[np.float64(1564.0)],1564.0,[np.float64(1261.0)],1261.0,[np.float64(286.0)],286.0,[np.float64(806.96)],806.96,nan,nan,nan,nan
99285784,8407291824,0,"[11165954, 585356642]",residential,nan,West 42nd Street,False,False,94.50368163293697,"[4096, 4577, 4097]",1564,43.0,0.002,nan,0.17785714353833879,1.0,1.0378570556640625,1.0,0.7871428217206683,1.0,"[np.float64(712.0), np.float64(5228.0), np.float64(1723.0)]",7663.0,"[np.float64(586.0), np.float64(4233.0), np.float64(1429.0)]",6248.0,"[np.float64(159.0), np.float64(1009.0), np.float64(408.0)]",1576.0,"[np.float64(386.96), np.float64(2731.45), np.float64(952.84)]",4071.25,nan,nan,nan,nan
99285869,99357528,0,190675573,residential,2,20th Street,False,True,101.75905594960986,"[6369, 5314, 1483]",975,43.0,0.002,nan,,0.0,0.7435713495526995,1.0,0.549285752432687,1.0,"[np.float64(444.0), np.float64(5290.0), np.float64(720.0)]",6454.0,"[np.float64(351.0), np.float64(4265.0), np.float64(575.0)]",5191.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(187.06), np.float64(2269.88), np.float64(306.23)]",2763.17,nan,nan,nan,nan
99287542,99287544,0,11149260,residential,2,23rd Street,False,True,83.48182640493692,"[6386, 1274, 3172]",834,43.0,0.002,nan,0.17500001192092896,0.18141748241660263,0.5437500476837158,0.6543887461914571,0.5460000038146973,0.4179031143033454,"[np.float64(228.0), np.float64(648.0), np.float64(2005.0)]",2881.0,"[np.float64(197.0), np.float64(550.0), np.float64(1119.0)]",1866.0,"[np.float64(53.0), np.float64(134.0), np.float64(85.0)]",272.0,"[np.float64(129.53), np.float64(355.34), np.float64(654.43)]",1139.3,nan,nan,nan,nan
99287544,99291622,0,"[1030335960, 1030335958, 1351234247]",primary,"['3', '2']",Collins Avenue,True,False,216.04015180401277,"[5376, 2753, 7877, 7878, 4397, 7598, 4404, 6388, 1339, 5372]",878,48.0,0.005,nan,0.22448276651316676,1.0,1.0824138378274852,1.0,0.8731034377525593,1.0,"[np.float64(26735.0), np.float64(1580.0), np.float64(3147.0), np.float64(26612.0), np.float64(7734.0), np.float64(6554.0), np.float64(9172.0), np.float64(6751.0), np.float64(5530.0), np.float64(9909.0)]",103724.0,"[np.float64(22333.0), np.float64(1466.0), np.float64(2847.0), np.float64(23511.0), np.float64(6664.0), np.float64(5676.0), np.float64(8073.0), np.float64(5620.0), np.float64(5121.0), np.float64(8340.0)]",89651.0,"[np.float64(4740.0), np.float64(733.0), np.float64(1100.0), np.float64(7909.0), np.float64(1900.0), np.float64(1680.0), np.float64(2612.0), np.float64(1131.0), np.float64(2186.0), np.float64(1882.0)]",25873.0,"[np.float64(14108.38), np.float64(1121.24), np.float64(2026.17), np.float64(16193.08), np.float64(4433.2), np.float64(3804.24), np.float64(5512.0), np.float64(3521.66), np.float64(3739.14), np.float64(5319.52)]",59778.63,30 mph,FL A1A,nan,nan
99288442,99288448,0,11149345,residential,nan,Royal Palm Avenue,False,True,152.66394159269106,1285,841,43.0,0.004,nan,,0.0,0.5677777396308051,1.0,0.3866666687859429,1.0,[np.float64(7990.0)],7990.0,[np.float64(5667.0)],5667.0,[np.float64(nan)],0.0,[np.float64(3044.86)],3044.86,nan,nan,nan,nan
99288442,99337343,0,"[1424255415, 132683303]",residential,nan,West 28th Street,False,True,106.82785743622858,"[1416, 8062]",925,43.0,0.002,nan,,0.0,0.7307143211364746,1.0,0.5542856965746198,1.0,"[np.float64(4941.0), np.float64(1829.0)]",6770.0,"[np.float64(4139.0), np.float64(1284.0)]",5423.0,"[np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2197.04), np.float64(690.45)]",2887.49,nan,nan,nan,nan
99288442,99409248,0,"[1424255416, 1424255415]",residential,nan,West 28th Street,False,False,106.98016356707878,"[8065, 1637, 3279, 6543, 8063]",1052,43.0,0.002,nan,,0.0,0.5979999542236328,1.0,0.4206666628519694,1.0,"[np.float64(60.0), np.float64(551.0), np.float64(1387.0), np.float64(227.0), np.float64(3585.0)]",5810.0,"[np.float64(49.0), np.float64(450.0), np.float64(1130.0), np.float64(187.0), np.float64(2456.0)]",4272.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(26.06), np.float64(239.28), np.float64(600.96), np.float64(99.38), np.float64(1323.27)]",2288.95,nan,nan,nan,nan
99288448,99382832,0,11161411,residential,nan,29th Street,False,False,98.14747583497815,1526,1005,43.0,0.002,nan,,0.0,0.6766666571299235,1.0,0.49166667461395264,1.0,[np.float64(5821.0)],5821.0,[np.float64(4633.0)],4633.0,[np.float64(nan)],0.0,[np.float64(2467.96)],2467.96,nan,nan,nan,nan
99288461,99335700,0,11155057,residential,nan,West 30th Street,False,False,125.35220369114757,1410,919,43.0,0.003,nan,,0.0,0.7393332799275716,1.0,0.5493333816528321,1.0,[np.float64(7937.0)],7937.0,[np.float64(6413.0)],6413.0,[np.float64(nan)],0.0,[np.float64(3412.54)],3412.54,nan,nan,nan,nan
99288465,99288469,0,585352701,residential,2,Royal Palm Avenue,False,True,103.08022203324985,"[6798, 1296, 2354, 1300, 6841, 6843, 6845, 6847]",854,43.0,0.002,nan,,0.0,1.0184615208552434,1.0,0.736153822678786,1.0,"[np.float64(773.0), np.float64(701.0), np.float64(1009.0), np.float64(609.0), np.float64(787.0), np.float64(687.0), np.float64(1197.0), np.float64(2476.0)]",8239.0,"[np.float64(588.0), np.float64(568.0), np.float64(793.0), np.float64(495.0), np.float64(639.0), np.float64(548.0), np.float64(937.0), np.float64(1906.0)]",6474.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(314.25), np.float64(302.19), np.float64(422.8), np.float64(263.3), np.float64(339.92), np.float64(291.87), np.float64(499.72), np.float64(1017.75)]",3451.8,nan,nan,nan,nan
99288465,99409269,0,534855611,residential,2,West 42nd Street,True,False,162.4559948013556,"[6794, 1651, 6795]",1054,43.0,0.004,nan,,0.0,0.9244999885559082,1.0,0.6450000286102295,1.0,"[np.float64(11044.0), np.float64(760.0), np.float64(420.0)]",12224.0,"[np.float64(8408.0), np.float64(589.0), np.float64(321.0)]",9318.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(4493.28), np.float64(314.35), np.float64(171.5)]",4979.13,nan,nan,nan,nan
