u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,risk_al_segments,risk_al,maxspeed,ref,access,junction
99011357,604127517,0,"[810825237, 419830502]",primary,4,Alton Road,False,False,85.40861120661296,"[7937, 4044, 1840, 1841, 4471]",1115,48.0,0.002,nan,0.10699999332427979,1.0,0.9390000343322754,1.0,0.7010000705718994,1.0,"[np.float64(4604.0), np.float64(15916.0), np.float64(5810.0), np.float64(7170.0), np.float64(31506.0)]",65006.0,"[np.float64(3760.0), np.float64(12631.0), np.float64(4776.0), np.float64(5811.0), np.float64(25133.0)]",52111.0,"[np.float64(963.0), np.float64(1388.0), np.float64(1309.0), np.float64(1344.0), np.float64(3877.0)]",8881.0,"[np.float64(2456.74), np.float64(7389.12), np.float64(3160.2), np.float64(3729.94), np.float64(15227.59)]",31963.59,30 mph,FL 907A,nan,nan
99011357,604127465,0,86626798,primary,2,Alton Road,True,False,127.41813156440705,"[1811, 3605, 4486]",1107,48.0,0.003,nan,0.13625000417232513,0.5035009457106663,0.8539999643961589,1.0,0.6173333485921224,1.0,"[np.float64(3477.0), np.float64(3281.0), np.float64(37885.0)]",44643.0,"[np.float64(2257.0), np.float64(2562.0), np.float64(29925.0)]",34744.0,"[np.float64(nan), np.float64(203.0), np.float64(4031.0)]",4234.0,"[np.float64(1221.53), np.float64(1463.04), np.float64(17864.15)]",20548.72,30 mph,FL 907A,nan,nan
99013323,99013324,0,11107444,residential,2,Lake Avenue,False,True,30.110007057676878,"[5729, 5731, 5733, 5735, 7368, 42, 5739, 7372, 7370, 7375, 7377]",20,40.0,0.001,nan,,0.0,0.6974999904632568,1.0,0.4750000238418579,1.0,"[np.float64(207.0), np.float64(235.0), np.float64(191.0), np.float64(161.0), np.float64(151.0), np.float64(165.0), np.float64(155.0), np.float64(160.0), np.float64(164.0), np.float64(132.0), np.float64(155.0)]",1876.0,"[np.float64(151.0), np.float64(184.0), np.float64(150.0), np.float64(121.0), np.float64(95.0), np.float64(128.0), np.float64(120.0), np.float64(123.0), np.float64(127.0), np.float64(102.0), np.float64(120.0)]",1421.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(80.96), np.float64(98.13), np.float64(79.98), np.float64(64.72), np.float64(51.56), np.float64(68.31), np.float64(64.05), np.float64(65.68), np.float64(67.78), np.float64(54.45), np.float64(64.05)]",759.67,25 mph,nan,private,nan
99013323,99278181,0,11157037,residential,2,West 21st Street,False,True,105.55314459934125,"[1192, 46, 7278, 7316, 7318, 5723, 5725, 5727]",782,40.0,0.003,nan,,0.0,0.757857186453683,1.0,0.5342857156481061,1.0,"[np.float64(4856.0), np.float64(247.0), np.float64(629.0), np.float64(169.0), np.float64(184.0), np.float64(180.0), np.float64(155.0), np.float64(469.0)]",6889.0,"[np.float64(3805.0), np.float64(193.0), np.float64(480.0), np.float64(130.0), np.float64(143.0), np.float64(139.0), np.float64(117.0), np.float64(369.0)]",5376.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2029.16), np.float64(102.94), np.float64(256.47), np.float64(69.42), np.float64(76.3), np.float64(74.2), np.float64(62.56), np.float64(196.73)]",2867.78,25 mph,nan,private,nan
99013323,99119849,0,258236779,residential,2,Sunset Drive,False,True,100.27035138793312,"[7280, 612, 44]",413,40.0,0.003,nan,,0.0,0.7626667022705078,1.0,0.5386666615804037,1.0,"[np.float64(482.0), np.float64(3777.0), np.float64(2116.0)]",6375.0,"[np.float64(304.0), np.float64(2945.0), np.float64(1645.0)]",4894.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(164.94), np.float64(1571.08), np.float64(877.76)]",2613.78,25 mph,nan,private,nan
99013323,99163954,0,"[1424831480, 258236779]",residential,2,Sunset Drive,False,False,36.926249497513204,"[5736, 7273, 7275, 804]",547,40.0,0.001,nan,,0.0,0.7714285169328962,1.0,0.5514285905020577,1.0,"[np.float64(653.0), np.float64(563.0), np.float64(398.0), np.float64(875.0)]",2489.0,"[np.float64(522.0), np.float64(448.0), np.float64(308.0), np.float64(691.0)]",1969.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(277.98), np.float64(238.65), np.float64(164.4), np.float64(368.29)]",1049.32,25 mph,nan,private,nan
99013324,99119849,0,"[11125035, 11107444]",residential,2,"['Lake Avenue', '22nd Street']",False,True,138.0475325824563,"[610, 607, 1201, 7282, 1203, 7379, 7381, 7383, 7385, 7387, 7389, 7391]",411,40.0,0.003,nan,,0.0,0.8216666115654839,1.0,0.598333305782742,1.0,"[np.float64(505.0), np.float64(190.0), np.float64(2407.0), np.float64(4989.0), np.float64(183.0), np.float64(190.0), np.float64(158.0), np.float64(184.0), np.float64(195.0), np.float64(158.0), np.float64(194.0), np.float64(248.0)]",9601.0,"[np.float64(375.0), np.float64(149.0), np.float64(1859.0), np.float64(4033.0), np.float64(144.0), np.float64(147.0), np.float64(124.0), np.float64(144.0), np.float64(160.0), np.float64(125.0), np.float64(159.0), np.float64(203.0)]",7622.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(200.78), np.float64(79.45), np.float64(992.42), np.float64(2146.0), np.float64(76.77), np.float64(78.46), np.float64(66.12), np.float64(76.8), np.float64(85.05), np.float64(66.61), np.float64(84.52), np.float64(107.92)]",4060.9,25 mph,nan,private,nan
99013324,99163954,0,1055607799,residential,1,Lake Avenue,True,False,48.30960669763107,"[803, 7373, 1199]",546,40.0,0.001,nan,,0.0,0.8116666475931803,1.0,0.5899999936421713,1.0,"[np.float64(992.0), np.float64(303.0), np.float64(353.0)]",1648.0,"[np.float64(785.0), np.float64(240.0), np.float64(282.0)]",1307.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(418.34), np.float64(127.89), np.float64(150.18)]",696.41,25 mph,nan,private,nan
99030709,99030711,0,11111763,residential,nan,nan,True,False,29.82423838869108,"[4910, 49, 7094]",21,43.0,0.001,nan,,0.0,0.2679999828338623,1.0,0.16666666666666666,0.7248264692763866,"[np.float64(156.0), np.float64(427.0), np.float64(304.0)]",887.0,"[np.float64(3.0), np.float64(222.0), np.float64(131.0)]",356.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(6.16), np.float64(122.7), np.float64(73.96)]",202.82,nan,nan,nan,nan
99030709,4011257289,0,398361539,secondary,4,Pine Tree Drive,False,True,105.70633390781592,"[7137, 2306, 7139, 2692, 4901, 2308, 4903, 4905, 1422, 1424, 7131, 7133, 7135]",1294,48.0,0.002,nan,,0.0,0.5418750047683716,1.0,0.3606249988079071,1.0,"[np.float64(1945.0), np.float64(5778.0), np.float64(2244.0), np.float64(2843.0), np.float64(1652.0), np.float64(1323.0), np.float64(1372.0), np.float64(1163.0), np.float64(2072.0), np.float64(1919.0), np.float64(1032.0), np.float64(1184.0), np.float64(1617.0)]",26144.0,"[np.float64(1498.0), np.float64(4064.0), np.float64(1794.0), np.float64(2343.0), np.float64(1112.0), np.float64(740.0), np.float64(784.0), np.float64(625.0), np.float64(1607.0), np.float64(1231.0), np.float64(568.0), np.float64(649.0), np.float64(968.0)]",17983.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(799.86), np.float64(2185.02), np.float64(955.35), np.float64(1245.08), np.float64(600.0), np.float64(405.99), np.float64(429.24), np.float64(344.26), np.float64(857.62), np.float64(666.92), np.float64(312.12), np.float64(356.78), np.float64(527.67)]",9685.91,30 mph,nan,nan,nan
99030709,2633936562,0,398361539,secondary,4,Pine Tree Drive,False,False,41.13530889992021,"[97, 2310, 4906, 4908, 7128, 95]",1202,48.0,0.001,nan,,0.0,0.3642857415335519,1.0,0.17999999863760813,1.0,"[np.float64(1188.0), np.float64(951.0), np.float64(1456.0), np.float64(1000.0), np.float64(1231.0), np.float64(1387.0)]",7213.0,"[np.float64(586.0), np.float64(441.0), np.float64(757.0), np.float64(457.0), np.float64(648.0), np.float64(700.0)]",3589.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(325.71), np.float64(246.82), np.float64(418.4), np.float64(256.21), np.float64(357.69), np.float64(388.11)]",1992.94,30 mph,nan,nan,nan
99030711,99030717,0,432720281,residential,2,Flamingo Drive,False,True,37.979923605262364,"[3347, 459, 3334, 55]",27,43.0,0.001,nan,,0.0,0.18428570883614676,1.0,0.07000000029802322,0.02059894218872159,"[np.float64(186.0), np.float64(126.0), np.float64(137.0), np.float64(195.0)]",644.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(5.0)]",5.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(5.58), np.float64(3.78), np.float64(4.11), np.float64(8.32)]",21.79,nan,nan,nan,nan
