u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,maxspeed,ref,access,junction
99011357,604127465,0,86626798,primary,2,Alton Road,True,False,127.41813156440705,"[1944, 3900, 4943]",1223,48.0,0.003,nan,0.13625000417232513,0.5035009457106663,0.8539999643961589,1.0,0.6173333485921224,1.0,"[np.float64(3477.0), np.float64(3281.0), np.float64(37885.0)]",44643.0,"[np.float64(2257.0), np.float64(2562.0), np.float64(29925.0)]",34744.0,"[np.float64(nan), np.float64(203.0), np.float64(4031.0)]",4234.0,30 mph,FL 907A,nan,nan
99013323,99013324,0,11107444,residential,2,Lake Avenue,False,True,30.110007057676878,"[6272, 6274, 6278, 42, 8111, 8113, 8115, 8118, 8120, 6268, 6270]",20,40.0,0.001,nan,,0.0,0.6974999904632568,1.0,0.4750000238418579,1.0,"[np.float64(191.0), np.float64(161.0), np.float64(155.0), np.float64(165.0), np.float64(151.0), np.float64(164.0), np.float64(160.0), np.float64(132.0), np.float64(155.0), np.float64(207.0), np.float64(235.0)]",1876.0,"[np.float64(150.0), np.float64(121.0), np.float64(120.0), np.float64(128.0), np.float64(95.0), np.float64(127.0), np.float64(123.0), np.float64(102.0), np.float64(120.0), np.float64(151.0), np.float64(184.0)]",1421.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,25 mph,nan,private,nan
99013323,99278181,0,11157037,residential,2,West 21st Street,False,True,105.55314459934125,"[46, 8021, 6262, 1304, 6266, 8059, 6264, 8061]",875,40.0,0.003,nan,,0.0,0.757857186453683,1.0,0.5342857156481061,1.0,"[np.float64(247.0), np.float64(629.0), np.float64(180.0), np.float64(4856.0), np.float64(469.0), np.float64(169.0), np.float64(155.0), np.float64(184.0)]",6889.0,"[np.float64(193.0), np.float64(480.0), np.float64(139.0), np.float64(3805.0), np.float64(369.0), np.float64(130.0), np.float64(117.0), np.float64(143.0)]",5376.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,25 mph,nan,private,nan
99013323,99119849,0,258236779,residential,2,Sunset Drive,False,True,100.27035138793312,"[664, 44, 8023]",446,40.0,0.003,nan,,0.0,0.7626667022705078,1.0,0.5386666615804037,1.0,"[np.float64(3777.0), np.float64(2116.0), np.float64(482.0)]",6375.0,"[np.float64(2945.0), np.float64(1645.0), np.float64(304.0)]",4894.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,25 mph,nan,private,nan
99013323,99163954,0,"[1424831480, 258236779]",residential,2,Sunset Drive,False,False,36.926249497513204,"[8016, 8018, 6275, 884]",610,40.0,0.001,nan,,0.0,0.7714285169328962,1.0,0.5514285905020577,1.0,"[np.float64(563.0), np.float64(398.0), np.float64(653.0), np.float64(875.0)]",2489.0,"[np.float64(448.0), np.float64(308.0), np.float64(522.0), np.float64(691.0)]",1969.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,25 mph,nan,private,nan
99013324,99119849,0,"[11125035, 11107444]",residential,2,"['Lake Avenue', '22nd Street']",False,True,138.0475325824563,"[8128, 1313, 8130, 1315, 8132, 8134, 659, 662, 8025, 8122, 8124, 8126]",444,40.0,0.003,nan,,0.0,0.8216666115654839,1.0,0.598333305782742,1.0,"[np.float64(195.0), np.float64(2407.0), np.float64(158.0), np.float64(183.0), np.float64(194.0), np.float64(248.0), np.float64(190.0), np.float64(505.0), np.float64(4989.0), np.float64(190.0), np.float64(158.0), np.float64(184.0)]",9601.0,"[np.float64(160.0), np.float64(1859.0), np.float64(125.0), np.float64(144.0), np.float64(159.0), np.float64(203.0), np.float64(149.0), np.float64(375.0), np.float64(4033.0), np.float64(147.0), np.float64(124.0), np.float64(144.0)]",7622.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,25 mph,nan,private,nan
99013324,99163954,0,1055607799,residential,1,Lake Avenue,True,False,48.30960669763107,"[883, 8116, 1311]",609,40.0,0.001,nan,,0.0,0.8116666475931803,1.0,0.5899999936421713,1.0,"[np.float64(992.0), np.float64(303.0), np.float64(353.0)]",1648.0,"[np.float64(785.0), np.float64(240.0), np.float64(282.0)]",1307.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,25 mph,nan,private,nan
99030709,99030711,0,11111763,residential,nan,nan,True,False,29.82423838869108,"[51, 5390, 7823]",21,43.0,0.001,nan,,0.0,0.2679999828338623,1.0,0.16666666666666666,0.7248264692763866,"[np.float64(427.0), np.float64(156.0), np.float64(304.0)]",887.0,"[np.float64(222.0), np.float64(3.0), np.float64(131.0)]",356.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99030709,4011257289,0,398361539,secondary,4,Pine Tree Drive,False,True,105.70633390781592,"[2464, 2466, 5381, 5383, 5385, 1547, 1549, 7860, 7862, 2903, 7864, 7866, 7868]",1445,48.0,0.002,nan,,0.0,0.5418750047683716,1.0,0.3606249988079071,1.0,"[np.float64(5778.0), np.float64(1323.0), np.float64(1652.0), np.float64(1372.0), np.float64(1163.0), np.float64(2072.0), np.float64(1919.0), np.float64(1032.0), np.float64(1184.0), np.float64(2843.0), np.float64(1617.0), np.float64(1945.0), np.float64(2244.0)]",26144.0,"[np.float64(4064.0), np.float64(740.0), np.float64(1112.0), np.float64(784.0), np.float64(625.0), np.float64(1607.0), np.float64(1231.0), np.float64(568.0), np.float64(649.0), np.float64(2343.0), np.float64(968.0), np.float64(1498.0), np.float64(1794.0)]",17983.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,30 mph,nan,nan,nan
99030709,2633936562,0,398361539,secondary,4,Pine Tree Drive,False,False,41.13530889992021,"[2468, 101, 103, 5386, 5388, 7857]",1332,48.0,0.001,nan,,0.0,0.3642857415335519,1.0,0.17999999863760813,1.0,"[np.float64(951.0), np.float64(1387.0), np.float64(1188.0), np.float64(1456.0), np.float64(1000.0), np.float64(1231.0)]",7213.0,"[np.float64(441.0), np.float64(700.0), np.float64(586.0), np.float64(757.0), np.float64(457.0), np.float64(648.0)]",3589.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,30 mph,nan,nan,nan
