o_node,d_node,origin,destination,opt_path,length,match_ids,OD,length_EV1_ma,diff_length_EV1_ma,diff_length_EV1_ma_pc
3930024333,11202022282,A_270,B_1,"[3930024333, 3930024334, 3930024337, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 1934244651, 1934244688, 2569022472, 1934244721, 1934244724, 1934244736, 4722963440, 4092461288, 4092461282, 4722963441, 10901355551, 1934244732, 1934244728, 4722963448, 4722963452, 5632800155, 11202022263, 5632800162, 5632800161, 5632800160, 1934753518, 4723043854, 3250279364, 3250279362, 3250274460, 2593843727, 4723053011, 1935839917, 4723053009, 776521967, 1935839852, 8253130813, 8253130811, 8253130793, 5632424987, 11202022282]",4270.0,"[2231, 2238, 2239, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 744, 757, 1677, 1676, 778, 791, 2356, 2355, 2252, 2250, 3803, 3801, 788, 785, 2362, 2363, 2901, 2901, 2911, 2907, 968, 2394, 1967, 1964, 1962, 1694, 2396, 1320, 2395, 471, 1260, 3755, 3754, 3747, 2860, 2859]",A_270B_1,9225.0,4955.0,116.04215456674473
3930024333,1934244652,A_270,B_2,"[3930024333, 3930024334, 3930024337, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 1934261211, 1934244652]",1543.0,"[2231, 2238, 2239, 2220, 2223, 119, 120, 238, 311, 310, 894, 899, 902]",A_270B_2,1543.0,0.0,0.0
3930024333,11202022283,A_270,B_3,"[3930024333, 3930024334, 3930024337, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 1934771022, 11202022283]",4087.0,"[2231, 2238, 2239, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 2327, 2328, 349, 343, 759, 766, 767, 195, 794, 805, 818, 833, 831, 131, 859, 2896, 643, 2931, 2369, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 1183, 1184, 3601]",A_270B_3,,,
3930024333,11202022284,A_270,B_4,"[3930024333, 3930024334, 3930024337, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 4723135463, 4816491859, 4816491861, 1833313089, 4816491856, 5635142254, 1833313083, 1833313087, 4723303157, 11202022284]",4988.0,"[2231, 2238, 2239, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 2327, 2328, 349, 343, 759, 766, 767, 195, 794, 805, 818, 833, 831, 131, 859, 2896, 643, 2931, 2369, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 1183, 2438, 2704, 2711, 2710, 2695, 2696, 2933, 598, 2618, 2617]",A_270B_4,4988.0,0.0,0.0
3930024333,11202022285,A_270,"B_5,B_6","[3930024333, 3930024334, 3930024337, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 4816491860, 1833313096, 4816491857, 1833313103, 1833313105, 567929915, 11202022285]",4719.0,"[2231, 2238, 2239, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 2327, 2328, 349, 343, 759, 766, 767, 195, 794, 805, 818, 833, 831, 131, 859, 2896, 643, 2931, 2369, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 2707, 2708, 2699, 2698, 628, 629, 6]","A_270B_5,B_6",4719.0,0.0,0.0
776490175,5632424987,A_271,B_0,"[776490175, 776534485, 776490191, 776490100, 776490162, 776534497, 776534512, 4723066881, 11202022241, 9699482584, 4723115134, 8253130802, 8253130794, 776741680, 5632424987]",1250.0,"[523, 520, 422, 428, 528, 538, 2416, 3773, 3773, 3774, 3751, 3752, 3748, 2858]",A_271B_0,,,
776490175,11202022282,A_271,B_1,"[776490175, 776534485, 776490191, 776490100, 776490162, 776534497, 776534512, 4723066881, 11202022241, 9699482584, 4723115134, 8253130802, 8253130794, 776741680, 5632424987, 11202022282]",1277.0,"[523, 520, 422, 428, 528, 538, 2416, 3773, 3773, 3774, 3751, 3752, 3748, 2858, 2859]",A_271B_1,8425.0,7148.0,559.7494126859827
776490175,1934244652,A_271,B_2,"[776490175, 4723059930, 5624912709, 5632591847, 5632591848, 5632591851, 5632591852, 5632706784, 5632591855, 5632591856, 5632591857, 4723043852, 3250279363, 3250279365, 2568927648, 2568934962, 5632800159, 5632800162, 11202022263, 5632800155, 4722963452, 4722963448, 1934244728, 1934244732, 10901355551, 4722963441, 4092461282, 4092461288, 4722963440, 1934244736, 1934244724, 1934244721, 2569022472, 1934244688, 1934244651, 4715753072, 762948426, 762948429, 1934244654, 1934244652]",2643.0,"[429, 2401, 2793, 2867, 2869, 2873, 2875, 2895, 2879, 2883, 2392, 1965, 1969, 1627, 1634, 2906, 2910, 2901, 2901, 2363, 2362, 785, 788, 3801, 3803, 2250, 2252, 2355, 2356, 791, 778, 1676, 1677, 757, 2326, 344, 349, 750, 748]",A_271B_2,2643.0,0.0,0.0
776490175,11202022283,A_271,B_3,"[776490175, 4723059930, 5624912709, 5632591847, 5632591848, 5632591851, 5632591852, 5632706784, 5632591855, 5632591856, 5632591857, 4723043852, 3250279363, 3250279365, 2568927648, 2568934962, 5632800159, 5632800160, 5632800161, 5632850472, 5632800157, 5632800156, 776741692, 4722963447, 5632800164, 1934244773, 5632850498, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 1934771022, 11202022283]",3287.0,"[429, 2401, 2793, 2867, 2869, 2873, 2875, 2895, 2879, 2883, 2392, 1965, 1969, 1627, 1634, 2906, 2908, 2907, 2909, 2919, 2904, 2902, 550, 2360, 2912, 2925, 2924, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 1183, 1184, 3601]",A_271B_3,,,
776490175,11202022284,A_271,B_4,"[776490175, 4723059930, 5624912709, 5632591847, 5632591848, 5632591851, 5632591852, 5632706784, 5632591855, 5632591856, 5632591857, 4723043852, 3250279363, 3250279365, 2568927648, 2568934962, 5632800159, 5632800160, 5632800161, 5632850472, 5632800157, 5632800156, 776741692, 4722963447, 5632800164, 1934244773, 5632850498, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 4723135463, 4816491859, 4816491861, 1833313089, 4816491856, 5635142254, 1833313083, 1833313087, 4723303157, 11202022284]",4188.0,"[429, 2401, 2793, 2867, 2869, 2873, 2875, 2895, 2879, 2883, 2392, 1965, 1969, 1627, 1634, 2906, 2908, 2907, 2909, 2919, 2904, 2902, 550, 2360, 2912, 2925, 2924, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 1183, 2438, 2704, 2711, 2710, 2695, 2696, 2933, 598, 2618, 2617]",A_271B_4,4188.0,0.0,0.0
