o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
13426689509,4063782840,O_74,D_7,12745.0,0,special,EV1_ma,,
13426689510,4063782840,O_75,D_7,12651.0,0,special,EV1_ma,,
13426689511,4063782840,"O_76,O_90",D_7,12733.0,0,special,EV1_ma,,
13426689513,4063782840,O_79,D_7,12653.0,0,special,EV1_ma,,
13426689514,4063782840,"O_80,O_101",D_7,12608.0,0,special,EV1_ma,,
13426689517,4063782840,O_83,D_7,12378.0,0,special,EV1_ma,,
13426689518,4063782840,O_84,D_7,12198.0,0,special,EV1_ma,,
13426689519,4063782840,O_85,D_7,12237.0,0,special,EV1_ma,,
13426689520,4063782840,O_86,D_7,12294.0,0,special,EV1_ma,,
13426689521,4063782840,O_87,D_7,12378.0,0,special,EV1_ma,,
13426689522,4063782840,O_88,D_7,12231.0,0,special,EV1_ma,,
13426689523,4063782840,O_89,D_7,12423.0,0,special,EV1_ma,,
13426689526,4063782840,O_102,D_7,12501.0,0,special,EV1_ma,,
13426689527,4063782840,O_103,D_7,12386.0,0,special,EV1_ma,,
13426689528,4063782840,O_104,D_7,12229.0,0,special,EV1_ma,,
13426689529,4063782840,O_105,D_7,11961.0,0,special,EV1_ma,,
13426689530,4063782840,O_106,D_7,11916.0,0,special,EV1_ma,,
13426689531,4063782840,O_108,D_7,12050.0,0,special,EV1_ma,,
13426689532,4063782840,O_109,D_7,12178.0,0,special,EV1_ma,,
13426689533,4063782840,O_110,D_7,12306.0,0,special,EV1_ma,,
13426689539,4063782840,O_125,D_7,12556.0,0,special,EV1_ma,,
13426689540,4063782840,O_126,D_7,12322.0,0,special,EV1_ma,,
13426689541,4063782840,O_128,D_7,11760.0,0,special,EV1_ma,,
13426689542,4063782840,O_129,D_7,11741.0,0,special,EV1_ma,,
13426689543,4063782840,O_130,D_7,11732.0,0,special,EV1_ma,,
13426689544,4063782840,O_131,D_7,11905.0,0,special,EV1_ma,,
13426689545,4063782840,O_132,D_7,12075.0,0,special,EV1_ma,,
13426689546,4063782840,"O_133,O_183,O_214",D_7,11239.0,0,special,EV1_ma,,
13426689552,4063782840,O_149,D_7,12493.0,0,special,EV1_ma,,
