u,v,link_id,ID,highway,avgspeed,lanes,length_x,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,EV1_mi,EV1_fr,alt_length,alt_nodes,diff_length,connected,length_y,hazard
30,32,None,None,residential,60.0,nan,91.0,nan,nan,30,32,30_32,58,101,0.002,0.0,0.0,,nan,,nan,,EV1_mi
31,34,None,None,residential,60.0,nan,161.0,nan,nan,31,34,31_34,59,106,0.003,0.0,0.0,,nan,,nan,,EV1_mi
31,463,None,None,residential,60.0,nan,142.0,nan,nan,31,463,31_463,60,1464,0.002,0.0,0.0,,nan,,nan,,EV1_mi
32,1181,None,None,residential,60.0,nan,135.0,nan,nan,32,1181,32_1181,61,3492,0.002,0.0,0.0,,nan,,nan,,EV1_mi
33,34,None,None,residential,60.0,nan,125.0,nan,nan,33,34,33_34,62,107,0.002,0.0,0.0,,nan,,nan,,EV1_mi
33,35,None,None,residential,60.0,nan,60.0,nan,nan,33,35,33_35,63,109,0.001,0.0,0.0,,nan,,nan,,EV1_mi
33,36,None,None,residential,60.0,nan,235.0,nan,nan,33,36,33_36,64,111,0.004,0.0,0.0,,nan,,nan,,EV1_mi
34,462,None,None,residential,60.0,nan,40.0,nan,nan,34,462,34_462,65,1461,0.001,0.0,0.0,,nan,,nan,,EV1_mi
35,35,None,None,residential,60.0,nan,385.0,nan,nan,35,35,35_35,66,110,0.006,0.0,0.0,,nan,,nan,,EV1_mi
36,1004,None,None,residential,60.0,nan,24.0,nan,nan,36,1004,36_1004,67,3032,0.0,0.0,0.0,,nan,,nan,,EV1_mi
36,37,None,None,residential,60.0,nan,164.0,nan,nan,36,37,36_37,68,114,0.003,0.0,0.0,,nan,,nan,,EV1_mi
37,38,None,None,residential,60.0,nan,161.0,nan,nan,37,38,37_38,69,117,0.003,0.0,0.0,,nan,,nan,,EV1_mi
37,39,None,None,residential,60.0,nan,167.0,nan,nan,37,39,37_39,70,124,0.003,0.0,0.0,,nan,,nan,,EV1_mi
38,431,None,None,residential,60.0,nan,251.0,nan,nan,38,431,38_431,71,1360,0.004,0.0,0.0,,nan,,nan,,EV1_mi
38,432,None,None,residential,60.0,nan,141.0,nan,nan,38,432,38_432,72,1364,0.002,0.0,0.0,,nan,,nan,,EV1_mi
38,40,None,None,residential,60.0,nan,203.0,nan,nan,38,40,38_40,73,127,0.003,0.0,0.0,,nan,,nan,,EV1_mi
