u,v,link_id,ID,highway,avgspeed,lanes,length_x,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,EV1_mi,EV1_fr,alt_length,alt_nodes,diff_length,connected,length_y,hazard
82,84,None,None,residential,60.0,nan,140.0,nan,nan,82,84,82_84,163,261,0.002,0.0,0.0,,nan,,nan,,EV1_mi
83,137,None,None,residential,60.0,nan,114.0,nan,nan,83,137,83_137,164,439,0.002,0.09922599792480469,0.021246712116453046,,nan,,nan,,EV1_mi
83,138,None,None,residential,60.0,nan,116.0,nan,nan,83,138,83_138,165,443,0.002,0.05681252479553223,0.11129832456389088,,nan,,nan,,EV1_mi
84,85,None,None,residential,60.0,nan,158.0,nan,nan,84,85,84_85,166,265,0.003,0.0,0.0,,nan,,nan,,EV1_mi
84,517,None,None,residential,60.0,nan,20.0,nan,nan,84,517,84_517,167,1634,0.0,0.0,0.0,,nan,,nan,,EV1_mi
85,86,None,None,residential,60.0,nan,31.0,nan,nan,85,86,85_86,168,267,0.001,0.0,0.0,,nan,,nan,,EV1_mi
86,516,None,None,residential,60.0,nan,79.0,nan,nan,86,516,86_516,169,1632,0.001,0.0,0.0,,nan,,nan,,EV1_mi
86,515,None,None,residential,60.0,nan,94.0,nan,nan,86,515,86_515,170,1627,0.002,0.0,0.0,,nan,,nan,,EV1_mi
87,88,None,None,residential,60.0,nan,48.0,nan,nan,87,88,87_88,171,275,0.001,0.0,0.0,,nan,,nan,,EV1_mi
87,89,None,None,residential,60.0,nan,80.0,nan,nan,87,89,87_89,172,277,0.001,0.0,0.0,,nan,,nan,,EV1_mi
87,90,None,None,residential,60.0,nan,230.0,nan,nan,87,90,87_90,173,281,0.004,0.0,0.0,,nan,,nan,,EV1_mi
88,91,None,None,residential,60.0,nan,82.0,nan,nan,88,91,88_91,174,285,0.001,0.0,0.0,,nan,,nan,,EV1_mi
89,270,None,None,residential,60.0,nan,27.0,nan,nan,89,270,89_270,175,864,0.0,0.0,0.0,,nan,,nan,,EV1_mi
89,266,None,None,residential,60.0,nan,32.0,nan,nan,89,266,89_266,176,853,0.001,0.0,0.0,,nan,,nan,,EV1_mi
89,271,None,None,residential,60.0,nan,32.0,nan,nan,89,271,89_271,177,867,0.001,0.0,0.0,,nan,,nan,,EV1_mi
90,511,None,None,residential,60.0,nan,81.0,nan,nan,90,511,90_511,178,1613,0.001,0.08923196792602539,0.16523004530785562,,nan,,nan,,EV1_mi
90,515,None,None,residential,60.0,nan,144.0,nan,nan,90,515,90_515,179,1628,0.002,0.0,0.0,,nan,,nan,,EV1_mi
90,516,None,None,residential,60.0,nan,121.0,nan,nan,90,516,90_516,180,1633,0.002,0.0,0.0,,nan,,nan,,EV1_mi
91,265,None,None,residential,60.0,nan,35.0,nan,nan,91,265,91_265,181,850,0.001,0.0,0.0,,nan,,nan,,EV1_mi
91,266,None,None,residential,60.0,nan,15.0,nan,nan,91,266,91_266,182,854,0.0,0.0,0.0,,nan,,nan,,EV1_mi
91,267,None,None,residential,60.0,nan,187.0,nan,nan,91,267,91_267,183,856,0.003,0.09710383415222168,0.7036751470114311,,nan,,nan,,EV1_mi
92,93,None,None,tertiary,58.0,2,57.0,nan,nan,92,93,92_93,184,292,0.001,0.0,0.0,,nan,,nan,,EV1_mi
92,94,None,None,tertiary,58.0,nan,61.0,nan,nan,92,94,92_94,185,296,0.001,0.0,0.0,,nan,,nan,,EV1_mi
92,95,None,None,tertiary,58.0,nan,62.0,nan,nan,92,95,92_95,186,300,0.001,0.0,0.0,,nan,,nan,,EV1_mi
93,145,None,None,residential,60.0,nan,117.0,nan,nan,93,145,93_145,187,470,0.002,0.0,0.0,,nan,,nan,,EV1_mi
93,139,None,None,tertiary,58.0,2,109.0,nan,nan,93,139,93_139,188,447,0.002,0.0,0.0,,nan,,nan,,EV1_mi
93,520,None,None,residential,60.0,nan,115.0,nan,nan,93,520,93_520,189,1643,0.002,0.0,0.0,,nan,,nan,,EV1_mi
94,247,None,None,tertiary,58.0,nan,29.0,nan,nan,94,247,94_247,190,799,0.001,0.0,0.0,,nan,,nan,,EV1_mi
94,249,None,None,residential,60.0,nan,33.0,nan,nan,94,249,94_249,191,805,0.001,0.0,0.0,,nan,,nan,,EV1_mi
94,95,None,None,tertiary,58.0,nan,37.0,nan,nan,94,95,94_95,192,301,0.001,0.0,0.0,,nan,,nan,,EV1_mi
95,273,None,None,residential,60.0,nan,39.0,nan,nan,95,273,95_273,193,873,0.001,0.0,0.0,,nan,,nan,,EV1_mi
95,272,None,None,tertiary,58.0,nan,28.0,nan,nan,95,272,95_272,194,870,0.0,0.0,0.0,,nan,,nan,,EV1_mi
96,97,None,None,residential,60.0,nan,177.0,nan,nan,96,97,96_97,195,308,0.003,0.08359837532043457,0.01989996923198834,,nan,,nan,,EV1_mi
96,98,None,None,residential,60.0,nan,49.0,nan,nan,96,98,96_98,196,311,0.001,0.0,0.0,,nan,,nan,,EV1_mi
96,99,None,None,residential,60.0,nan,157.0,nan,nan,96,99,96_99,197,315,0.003,0.09221291542053223,0.13190322106039304,,nan,,nan,,EV1_mi
96,100,None,None,residential,60.0,nan,524.0,nan,nan,96,100,96_100,198,318,0.009,0.05298209190368652,0.3030727815991208,,nan,,nan,,EV1_mi
97,150,None,None,residential,60.0,nan,193.0,nan,nan,97,150,97_150,199,489,0.003,0.060613155364990234,0.8731492256774782,,nan,,nan,,EV1_mi
97,160,None,None,residential,60.0,nan,177.0,nan,nan,97,160,97_160,200,522,0.003,0.08359837532043457,0.02100033277772905,,nan,,nan,,EV1_mi
98,101,None,None,residential,60.0,nan,67.0,nan,nan,98,101,98_101,201,321,0.001,0.0,0.0,,nan,,nan,,EV1_mi
98,129,None,None,residential,60.0,nan,138.0,nan,nan,98,129,98_129,202,417,0.002,0.0,0.0,,nan,,nan,,EV1_mi
98,236,None,None,residential,60.0,nan,160.0,nan,nan,98,236,98_236,203,764,0.003,0.0,0.0,,nan,,nan,,EV1_mi
99,571,None,None,residential,60.0,nan,280.0,nan,nan,99,571,99_571,204,1804,0.005,0.055811405181884766,0.3020661881386148,,nan,,nan,,EV1_mi
99,236,None,None,residential,60.0,nan,47.0,nan,nan,99,236,99_236,205,765,0.001,0.0,0.0,,nan,,nan,,EV1_mi
100,253,None,None,residential,60.0,nan,72.0,nan,nan,100,253,100_253,206,818,0.001,0.0,0.0,,nan,,nan,,EV1_mi
100,553,None,None,residential,60.0,nan,182.0,nan,nan,100,553,100_553,207,1751,0.003,0.10651016235351562,0.036286739650063134,,nan,,nan,,EV1_mi
101,102,None,None,residential,60.0,nan,67.0,nan,nan,101,102,101_102,208,325,0.001,0.0,0.0,,nan,,nan,,EV1_mi
101,103,None,None,tertiary,58.0,nan,138.0,nan,nan,101,103,101_103,209,328,0.002,0.0,0.0,,nan,,nan,,EV1_mi
101,104,None,None,tertiary,58.0,nan,66.0,nan,nan,101,104,101_104,210,332,0.001,0.0,0.0,,nan,,nan,,EV1_mi
102,239,None,None,residential,60.0,nan,135.0,nan,nan,102,239,102_239,211,773,0.002,0.0,0.0,,nan,,nan,,EV1_mi
102,227,None,None,residential,60.0,nan,63.0,nan,nan,102,227,102_227,212,736,0.001,0.0,0.0,,nan,,nan,,EV1_mi
103,127,None,None,tertiary,58.0,nan,216.0,nan,nan,103,127,103_127,213,409,0.004,0.0,0.0,,nan,,nan,,EV1_mi
103,128,None,None,residential,60.0,nan,63.0,nan,nan,103,128,103_128,214,413,0.001,0.0,0.0,,nan,,nan,,EV1_mi
103,129,None,None,residential,60.0,nan,66.0,nan,nan,103,129,103_129,215,418,0.001,0.0,0.0,,nan,,nan,,EV1_mi
104,106,None,None,tertiary,58.0,nan,53.0,nan,nan,104,106,104_106,216,339,0.001,0.0,0.0,,nan,,nan,,EV1_mi
104,128,None,None,residential,60.0,nan,137.0,nan,nan,104,128,104_128,217,414,0.002,0.0,0.0,,nan,,nan,,EV1_mi
104,227,None,None,residential,60.0,nan,67.0,nan,nan,104,227,104_227,218,737,0.001,0.0,0.0,,nan,,nan,,EV1_mi
105,106,None,None,tertiary,58.0,nan,55.0,nan,nan,105,106,105_106,219,340,0.001,0.0,0.0,,nan,,nan,,EV1_mi
105,107,None,None,tertiary,58.0,nan,60.0,nan,nan,105,107,105_107,220,343,0.001,0.0,0.0,,nan,,nan,,EV1_mi
105,108,None,None,tertiary,58.0,nan,58.0,nan,nan,105,108,105_108,221,346,0.001,0.0,0.0,,nan,,nan,,EV1_mi
106,130,None,None,residential,60.0,nan,136.0,nan,nan,106,130,106_130,222,420,0.002,0.0,0.0,,nan,,nan,,EV1_mi
106,176,None,None,residential,60.0,nan,70.0,nan,nan,106,176,106_176,223,569,0.001,0.0,0.0,,nan,,nan,,EV1_mi
107,109,None,None,tertiary,58.0,nan,43.0,nan,nan,107,109,107_109,224,349,0.001,0.0,0.0,,nan,,nan,,EV1_mi
107,108,None,None,tertiary,58.0,nan,41.0,nan,nan,107,108,107_108,225,347,0.001,0.0,0.0,,nan,,nan,,EV1_mi
108,115,None,None,tertiary,58.0,nan,4.0,nan,nan,108,115,108_115,226,367,0.0,0.0,0.0,,nan,,nan,,EV1_mi
109,110,None,None,tertiary,58.0,nan,38.0,nan,nan,109,110,109_110,227,352,0.001,0.0,0.0,,nan,,nan,,EV1_mi
109,111,None,None,tertiary,58.0,nan,230.0,nan,yes,109,111,109_111,228,355,0.004,0.052051544189453125,0.07997451521828453,,nan,,nan,,EV1_mi
110,112,None,None,tertiary,58.0,nan,13.0,nan,nan,110,112,110_112,229,358,0.0,0.0,0.0,,nan,,nan,,EV1_mi
110,113,None,None,tertiary,30.0,nan,239.0,30,yes,110,113,110_113,230,361,0.008,0.05371212959289551,0.10080807172655926,,nan,,nan,,EV1_mi
111,179,None,None,tertiary,58.0,nan,17.0,nan,nan,111,179,111_179,231,579,0.0,0.0,0.0,,nan,,nan,,EV1_mi
111,113,None,None,tertiary,58.0,nan,44.0,nan,nan,111,113,111_113,232,362,0.001,0.0,0.0,,nan,,nan,,EV1_mi
112,114,None,None,tertiary,58.0,nan,47.0,nan,nan,112,114,112_114,233,364,0.001,0.0,0.0,,nan,,nan,,EV1_mi
112,115,None,None,tertiary,58.0,nan,29.0,nan,nan,112,115,112_115,234,368,0.001,0.0,0.0,,nan,,nan,,EV1_mi
113,1165,None,None,tertiary,58.0,nan,9.0,nan,nan,113,1165,113_1165,235,3454,0.0,0.0,0.0,,nan,,nan,,EV1_mi
114,115,None,None,tertiary,58.0,nan,41.0,nan,nan,114,115,114_115,236,369,0.001,0.0,0.0,,nan,,nan,,EV1_mi
114,130,None,None,tertiary,58.0,nan,153.0,nan,nan,114,130,114_130,237,421,0.003,0.0,0.0,,nan,,nan,,EV1_mi
116,117,None,None,residential,60.0,nan,54.0,nan,nan,116,117,116_117,238,373,0.001,0.0,0.0,,nan,,nan,,EV1_mi
116,121,None,None,residential,60.0,nan,179.0,nan,nan,116,121,116_121,239,388,0.003,0.0,0.0,,nan,,nan,,EV1_mi
116,118,None,None,residential,60.0,nan,32.0,nan,nan,116,118,116_118,240,377,0.001,0.0,0.0,,nan,,nan,,EV1_mi
117,119,None,None,residential,60.0,nan,56.0,nan,nan,117,119,117_119,241,380,0.001,0.0,0.0,,nan,,nan,,EV1_mi
117,118,None,None,residential,60.0,2,47.0,nan,nan,117,118,117_118,242,378,0.001,0.0,0.0,,nan,,nan,,EV1_mi
117,120,None,None,residential,60.0,nan,56.0,nan,nan,117,120,117_120,243,385,0.001,0.0,0.0,,nan,,nan,,EV1_mi
118,262,None,None,residential,60.0,2,26.0,nan,nan,118,262,118_262,244,844,0.0,0.0,0.0,,nan,,nan,,EV1_mi
119,126,None,None,residential,60.0,nan,58.0,nan,nan,119,126,119_126,245,405,0.001,0.0,0.0,,nan,,nan,,EV1_mi
119,550,None,None,residential,60.0,nan,51.0,nan,nan,119,550,119_550,246,1740,0.001,0.0,0.0,,nan,,nan,,EV1_mi
119,120,None,None,residential,60.0,nan,14.0,nan,nan,119,120,119_120,247,386,0.0,0.0,0.0,,nan,,nan,,EV1_mi
121,122,None,None,residential,60.0,nan,67.0,nan,nan,121,122,121_122,248,390,0.001,0.0,0.0,,nan,,nan,,EV1_mi
122,263,None,None,residential,60.0,nan,112.0,nan,nan,122,263,122_263,249,847,0.002,0.0,0.0,,nan,,nan,,EV1_mi
122,268,None,None,residential,60.0,nan,112.0,nan,nan,122,268,122_268,250,859,0.002,0.0,0.0,,nan,,nan,,EV1_mi
122,546,None,None,residential,60.0,nan,66.0,nan,nan,122,546,122_546,251,1724,0.001,0.0,0.0,,nan,,nan,,EV1_mi
123,124,None,None,tertiary,58.0,2,38.0,nan,nan,123,124,123_124,252,397,0.001,0.0,0.0,,nan,,nan,,EV1_mi
123,125,None,None,tertiary,58.0,nan,46.0,nan,nan,123,125,123_125,253,401,0.001,0.0,0.0,,nan,,nan,,EV1_mi
123,126,None,None,tertiary,58.0,nan,46.0,nan,nan,123,126,123_126,254,406,0.001,0.0,0.0,,nan,,nan,,EV1_mi
124,538,None,None,tertiary,58.0,2,114.0,nan,nan,124,538,124_538,255,1698,0.002,0.0,0.0,,nan,,nan,,EV1_mi
124,536,None,None,residential,60.0,nan,64.0,nan,nan,124,536,124_536,256,1692,0.001,0.0,0.0,,nan,,nan,,EV1_mi
124,262,None,None,residential,60.0,nan,113.0,nan,nan,124,262,124_262,257,845,0.002,0.0,0.0,,nan,,nan,,EV1_mi
125,409,None,None,residential,60.0,nan,59.0,nan,nan,125,409,125_409,258,1301,0.001,0.0,0.0,,nan,,nan,,EV1_mi
125,126,None,None,residential,60.0,nan,17.0,nan,nan,125,126,125_126,259,407,0.0,0.0,0.0,,nan,,nan,,EV1_mi
125,411,None,None,tertiary,58.0,nan,63.0,nan,nan,125,411,125_411,260,1308,0.001,0.0,0.0,,nan,,nan,,EV1_mi
126,550,None,None,tertiary,58.0,nan,53.0,nan,nan,126,550,126_550,261,1741,0.001,0.0,0.0,,nan,,nan,,EV1_mi
127,157,None,None,residential,60.0,nan,63.0,nan,nan,127,157,127_157,262,512,0.001,0.0,0.0,,nan,,nan,,EV1_mi
127,158,None,None,residential,60.0,nan,62.0,nan,nan,127,158,127_158,263,515,0.001,0.0,0.0,,nan,,nan,,EV1_mi
127,159,None,None,tertiary,58.0,nan,259.0,nan,nan,127,159,127_159,264,518,0.004,0.0,0.0,,nan,,nan,,EV1_mi
128,158,None,None,residential,60.0,nan,216.0,nan,nan,128,158,128_158,265,516,0.004,0.0,0.0,,nan,,nan,,EV1_mi
128,130,None,None,residential,60.0,nan,52.0,nan,nan,128,130,128_130,266,422,0.001,0.0,0.0,,nan,,nan,,EV1_mi
129,157,None,None,residential,60.0,nan,214.0,nan,nan,129,157,129_157,267,513,0.004,0.0,0.0,,nan,,nan,,EV1_mi
130,205,None,None,tertiary,58.0,nan,216.0,nan,nan,130,205,130_205,268,661,0.004,0.0,0.0,,nan,,nan,,EV1_mi
131,132,None,None,residential,60.0,nan,76.0,nan,nan,131,132,131_132,269,425,0.001,0.0,0.0,,nan,,nan,,EV1_mi
132,228,None,None,residential,60.0,nan,49.0,nan,nan,132,228,132_228,270,740,0.001,0.0,0.0,,nan,,nan,,EV1_mi
132,552,None,None,residential,60.0,nan,66.0,nan,nan,132,552,132_552,271,1748,0.001,0.0,0.0,,nan,,nan,,EV1_mi
133,134,None,None,residential,60.0,nan,71.0,nan,nan,133,134,133_134,272,429,0.001,0.0,0.0,,nan,,nan,,EV1_mi
134,233,None,None,residential,60.0,nan,35.0,nan,nan,134,233,134_233,273,754,0.001,0.0,0.0,,nan,,nan,,EV1_mi
134,419,None,None,residential,60.0,nan,108.0,nan,nan,134,419,134_419,274,1330,0.002,0.0,0.0,,nan,,nan,,EV1_mi
135,136,None,None,residential,60.0,nan,117.0,nan,nan,135,136,135_136,275,436,0.002,0.0,0.0,,nan,,nan,,EV1_mi
135,137,None,None,residential,60.0,nan,114.0,nan,nan,135,137,135_137,276,440,0.002,0.0,0.0,,nan,,nan,,EV1_mi
136,554,None,None,residential,60.0,nan,65.0,nan,nan,136,554,136_554,277,1754,0.001,0.0,0.0,,nan,,nan,,EV1_mi
136,144,None,None,residential,60.0,nan,114.0,nan,nan,136,144,136_144,278,466,0.002,0.0,0.0,,nan,,nan,,EV1_mi
137,144,None,None,residential,60.0,nan,116.0,nan,nan,137,144,137_144,279,467,0.002,0.0,0.0,,nan,,nan,,EV1_mi
137,146,None,None,residential,60.0,nan,116.0,nan,nan,137,146,137_146,280,474,0.002,0.0,0.0,,nan,,nan,,EV1_mi
138,517,None,None,residential,60.0,nan,85.0,nan,nan,138,517,138_517,281,1635,0.001,0.05681252479553223,0.0621710417443477,,nan,,nan,,EV1_mi
138,146,None,None,residential,60.0,nan,112.0,nan,nan,138,146,138_146,282,475,0.002,0.05681252479553223,0.27336626589864826,,nan,,nan,,EV1_mi
138,513,None,None,residential,60.0,nan,117.0,nan,nan,138,513,138_513,283,1620,0.002,0.05681252479553223,0.04612875320156704,,nan,,nan,,EV1_mi
139,140,None,None,tertiary,58.0,2,120.0,nan,nan,139,140,139_140,284,451,0.002,0.0,0.0,,nan,,nan,,EV1_mi
139,141,None,None,residential,60.0,nan,117.0,nan,nan,139,141,139_141,285,455,0.002,0.0,0.0,,nan,,nan,,EV1_mi
139,142,None,None,residential,60.0,nan,109.0,nan,nan,139,142,139_142,286,459,0.002,0.0,0.0,,nan,,nan,,EV1_mi
140,164,None,None,tertiary,58.0,2,115.0,nan,nan,140,164,140_164,287,535,0.002,0.0,0.0,,nan,,nan,,EV1_mi
140,165,None,None,residential,60.0,nan,113.0,nan,nan,140,165,140_165,288,539,0.002,0.0,0.0,,nan,,nan,,EV1_mi
140,143,None,None,residential,60.0,nan,115.0,nan,nan,140,143,140_143,289,462,0.002,0.0,0.0,,nan,,nan,,EV1_mi
141,143,None,None,residential,60.0,2,113.0,nan,nan,141,143,141_143,290,463,0.002,0.0,0.0,,nan,,nan,,EV1_mi
141,144,None,None,residential,60.0,nan,120.0,nan,nan,141,144,141_144,291,468,0.002,0.0,0.0,,nan,,nan,,EV1_mi
141,145,None,None,residential,60.0,2,116.0,nan,nan,141,145,141_145,292,471,0.002,0.0,0.0,,nan,,nan,,EV1_mi
142,165,None,None,tertiary,58.0,2,119.0,nan,nan,142,165,142_165,293,540,0.002,0.0,0.0,,nan,,nan,,EV1_mi
142,520,None,None,tertiary,58.0,2,109.0,nan,nan,142,520,142_520,294,1644,0.002,0.0,0.0,,nan,,nan,,EV1_mi
143,162,None,None,residential,60.0,2,114.0,nan,nan,143,162,143_162,295,529,0.002,0.0,0.0,,nan,,nan,,EV1_mi
143,163,None,None,residential,60.0,nan,16.0,nan,nan,143,163,143_163,296,532,0.0,0.0,0.0,,nan,,nan,,EV1_mi
144,154,None,None,residential,60.0,nan,115.0,nan,nan,144,154,144_154,297,500,0.002,0.0,0.0,,nan,,nan,,EV1_mi
145,154,None,None,residential,60.0,nan,122.0,nan,nan,145,154,145_154,298,501,0.002,0.0,0.0,,nan,,nan,,EV1_mi
145,156,None,None,residential,60.0,2,118.0,nan,nan,145,156,145_156,299,508,0.002,0.0,0.0,,nan,,nan,,EV1_mi
146,154,None,None,residential,60.0,nan,112.0,nan,nan,146,154,146_154,300,502,0.002,0.0,0.0,,nan,,nan,,EV1_mi
146,194,None,None,residential,60.0,nan,117.0,nan,nan,146,194,146_194,301,627,0.002,0.0,0.0,,nan,,nan,,EV1_mi
147,148,None,None,residential,60.0,nan,59.0,nan,nan,147,148,147_148,302,482,0.001,0.0,0.0,,nan,,nan,,EV1_mi
147,149,None,None,residential,60.0,nan,99.0,nan,nan,147,149,147_149,303,485,0.002,0.0,0.0,,nan,,nan,,EV1_mi
147,150,None,None,residential,60.0,nan,112.0,nan,nan,147,150,147_150,304,490,0.002,0.13555502891540527,0.5612681703219841,,nan,,nan,,EV1_mi
147,151,None,None,residential,60.0,nan,102.0,nan,nan,147,151,147_151,305,492,0.002,0.05074930191040039,0.35945147491632096,,nan,,nan,,EV1_mi
148,160,None,None,residential,60.0,nan,57.0,nan,nan,148,160,148_160,306,523,0.001,0.0,0.0,,nan,,nan,,EV1_mi
148,245,None,None,residential,60.0,nan,99.0,nan,nan,148,245,148_245,307,792,0.002,0.0,0.0,,nan,,nan,,EV1_mi
149,244,None,None,residential,60.0,nan,162.0,nan,nan,149,244,149_244,308,788,0.003,0.0,0.0,,nan,,nan,,EV1_mi
149,245,None,None,residential,60.0,nan,64.0,nan,nan,149,245,149_245,309,793,0.001,0.0,0.0,,nan,,nan,,EV1_mi
149,246,None,None,residential,60.0,nan,114.0,nan,nan,149,246,149_246,310,796,0.002,0.0,0.0,,nan,,nan,,EV1_mi
150,1260,None,None,residential,60.0,nan,102.0,nan,nan,150,1260,150_1260,311,3704,0.002,0.2307586669921875,1.0,,nan,,nan,,EV1_mi
152,153,None,None,residential,60.0,nan,60.0,nan,nan,152,153,152_153,312,497,0.001,0.06534004211425781,0.0017289183964610184,,nan,,nan,,EV1_mi
152,154,None,None,residential,60.0,nan,116.0,nan,nan,152,154,152_154,313,503,0.002,0.0,0.0,,nan,,nan,,EV1_mi
152,155,None,None,residential,60.0,nan,115.0,nan,nan,152,155,152_155,314,504,0.002,0.0,0.0,,nan,,nan,,EV1_mi
152,156,None,None,residential,60.0,nan,119.0,nan,nan,152,156,152_156,315,509,0.002,0.0,0.0,,nan,,nan,,EV1_mi
153,188,None,None,residential,60.0,nan,115.0,nan,nan,153,188,153_188,316,606,0.002,0.0,0.0,,nan,,nan,,EV1_mi
153,194,None,None,residential,60.0,nan,54.0,nan,nan,153,194,153_194,317,628,0.001,0.0,0.0,,nan,,nan,,EV1_mi
155,188,None,None,residential,60.0,nan,58.0,nan,nan,155,188,155_188,318,607,0.001,0.0,0.0,,nan,,nan,,EV1_mi
155,189,None,None,residential,60.0,nan,121.0,nan,nan,155,189,155_189,319,610,0.002,0.0,0.0,,nan,,nan,,EV1_mi
155,190,None,None,residential,60.0,nan,113.0,nan,nan,155,190,155_190,320,614,0.002,0.0,0.0,,nan,,nan,,EV1_mi
156,189,None,None,residential,60.0,2,112.0,nan,nan,156,189,156_189,321,611,0.002,0.0,0.0,,nan,,nan,,EV1_mi
156,249,None,None,residential,60.0,nan,66.0,nan,nan,156,249,156_249,322,806,0.001,0.0,0.0,,nan,,nan,,EV1_mi
157,160,None,None,residential,60.0,nan,54.0,nan,nan,157,160,157_160,323,524,0.001,0.0,0.0,,nan,,nan,,EV1_mi
158,205,None,None,residential,60.0,nan,54.0,nan,nan,158,205,158_205,324,662,0.001,0.0,0.0,,nan,,nan,,EV1_mi
159,207,None,None,tertiary,58.0,nan,142.0,nan,nan,159,207,159_207,325,667,0.002,0.0,0.0,,nan,,nan,,EV1_mi
159,208,None,None,residential,60.0,nan,114.0,nan,nan,159,208,159_208,326,671,0.002,0.0,0.0,,nan,,nan,,EV1_mi
159,206,None,None,residential,60.0,nan,113.0,nan,nan,159,206,159_206,327,664,0.002,0.0,0.0,,nan,,nan,,EV1_mi
160,161,None,None,residential,60.0,2,100.0,nan,nan,160,161,160_161,328,526,0.002,0.0,0.0,,nan,,nan,,EV1_mi
161,245,None,None,residential,60.0,nan,59.0,nan,nan,161,245,161_245,329,794,0.001,0.0,0.0,,nan,,nan,,EV1_mi
161,208,None,None,residential,60.0,2,164.0,nan,nan,161,208,161_208,330,672,0.003,0.0,0.0,,nan,,nan,,EV1_mi
162,540,None,None,residential,60.0,2,14.0,nan,nan,162,540,162_540,331,1705,0.0,0.0,0.0,,nan,,nan,,EV1_mi
162,164,None,None,residential,60.0,nan,114.0,nan,nan,162,164,162_164,332,536,0.002,0.0,0.0,,nan,,nan,,EV1_mi
163,874,None,None,residential,60.0,nan,41.0,nan,nan,163,874,163_874,333,2685,0.001,0.0,0.0,,nan,,nan,,EV1_mi
163,554,None,None,residential,60.0,nan,39.0,nan,nan,163,554,163_554,334,1755,0.001,0.0,0.0,,nan,,nan,,EV1_mi
164,532,None,None,tertiary,58.0,2,114.0,nan,nan,164,532,164_532,335,1678,0.002,0.0,0.0,,nan,,nan,,EV1_mi
164,524,None,None,residential,60.0,nan,115.0,nan,nan,164,524,164_524,336,1654,0.002,0.0,0.0,,nan,,nan,,EV1_mi
165,524,None,None,tertiary,58.0,2,115.0,nan,nan,165,524,165_524,337,1655,0.002,0.0,0.0,,nan,,nan,,EV1_mi
166,167,None,None,tertiary,58.0,nan,90.0,nan,nan,166,167,166_167,338,545,0.002,0.0,0.0,,nan,,nan,,EV1_mi
166,168,None,None,tertiary,60.0,2,110.0,60,nan,166,168,166_168,339,548,0.002,0.0,0.0,,nan,,nan,,EV1_mi
166,169,None,None,tertiary,58.0,nan,212.0,nan,nan,166,169,166_169,340,551,0.004,0.0,0.0,,nan,,nan,,EV1_mi
167,624,None,None,tertiary,58.0,nan,119.0,nan,nan,167,624,167_624,341,1952,0.002,0.0,0.0,,nan,,nan,,EV1_mi
167,620,None,None,residential,60.0,nan,58.0,nan,nan,167,620,167_620,342,1938,0.001,0.0,0.0,,nan,,nan,,EV1_mi
168,621,None,None,residential,60.0,nan,46.0,nan,nan,168,621,168_621,343,1942,0.001,0.0,0.0,,nan,,nan,,EV1_mi
168,623,None,None,tertiary,60.0,2,60.0,60,nan,168,623,168_623,344,1950,0.001,0.0,0.0,,nan,,nan,,EV1_mi
169,1219,None,None,tertiary,58.0,nan,26.0,nan,nan,169,1219,169_1219,345,3595,0.0,0.0,0.0,,nan,,nan,,EV1_mi
169,624,None,None,tertiary_link,58.0,nan,32.0,nan,nan,169,624,169_624,346,1953,0.001,0.0,0.0,,nan,,nan,,EV1_mi
170,171,None,None,residential,60.0,nan,77.0,nan,nan,170,171,170_171,347,558,0.001,0.0,0.0,,nan,,nan,,EV1_mi
170,172,None,None,residential,60.0,nan,54.0,nan,nan,170,172,170_172,348,561,0.001,0.0,0.0,,nan,,nan,,EV1_mi
170,173,None,None,residential,60.0,nan,39.0,nan,nan,170,173,170_173,349,564,0.001,0.0,0.0,,nan,,nan,,EV1_mi
170,174,None,None,residential,60.0,nan,45.0,nan,nan,170,174,170_174,350,567,0.001,0.0,0.0,,nan,,nan,,EV1_mi
171,555,None,None,residential,60.0,nan,125.0,nan,nan,171,555,171_555,351,1757,0.002,0.0,0.0,,nan,,nan,,EV1_mi
171,556,None,None,residential,60.0,nan,62.0,nan,nan,171,556,171_556,352,1760,0.001,0.0,0.0,,nan,,nan,,EV1_mi
172,204,None,None,residential,60.0,nan,27.0,nan,nan,172,204,172_204,353,658,0.0,0.0,0.0,,nan,,nan,,EV1_mi
172,560,None,None,residential,60.0,nan,24.0,nan,nan,172,560,172_560,354,1772,0.0,0.0,0.0,,nan,,nan,,EV1_mi
173,175,None,None,residential,60.0,nan,26.0,nan,nan,173,175,173_175,355,568,0.0,0.0,0.0,,nan,,nan,,EV1_mi
173,204,None,None,residential,60.0,nan,97.0,nan,nan,"[203, 173]","[203, 204]","['203_204', '173_203']","[356, 414]",660,0.002,0.0,0.0,,nan,,nan,,EV1_mi
176,227,None,None,residential,60.0,nan,53.0,nan,nan,176,227,176_227,357,738,0.001,0.0,0.0,,nan,,nan,,EV1_mi
176,228,None,None,residential,60.0,nan,107.0,nan,nan,176,228,176_228,358,741,0.002,0.0,0.0,,nan,,nan,,EV1_mi
176,229,None,None,residential,60.0,nan,123.0,nan,nan,176,229,176_229,359,744,0.002,0.0,0.0,,nan,,nan,,EV1_mi
177,178,None,None,residential,60.0,nan,63.0,nan,nan,177,178,177_178,360,577,0.001,0.0,0.0,,nan,,nan,,EV1_mi
177,179,None,None,tertiary,58.0,nan,31.0,nan,nan,177,179,177_179,361,580,0.001,0.0,0.0,,nan,,nan,,EV1_mi
