o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
1934233691,11590763625,A_325,"B_5,B_6",3045.0,939.79366302,hospital,EV1_ma,3045.0,0.0
1934753609,11590763625,A_329,"B_5,B_6",1514.0,1154.41796875,hospital,EV1_ma,1514.0,0.0
1934753610,11590763625,A_328,"B_5,B_6",1901.0,1504.05272293,hospital,EV1_ma,1901.0,0.0
1934771000,11590763624,A_335,B_4,1424.0,1604.44867325,hospital,EV1_ma,1424.0,0.0
1934771001,11590763625,A_336,"B_5,B_6",1871.0,1239.31250381,hospital,EV1_ma,1871.0,0.0
1935839847,11590763624,A_252,B_4,3835.0,1983.5795536,hospital,EV1_ma,3818.0,17.0
1935861255,11590763624,A_279,B_4,2369.0,1410.83597374,hospital,EV1_ma,2351.0,18.0
1935861369,11590763624,A_298,B_4,1644.0,1729.80155945,hospital,EV1_ma,1627.0,17.0
1935869817,11590763624,A_299,B_4,1983.0,1821.23622513,hospital,EV1_ma,1965.0,18.0
2568977667,11590763625,A_291,"B_5,B_6",3593.0,1890.00128651,hospital,EV1_ma,3593.0,0.0
2569022472,11590763625,A_309,"B_5,B_6",2908.0,1176.72171593,hospital,EV1_ma,2908.0,0.0
2569030739,11590763625,A_290,"B_5,B_6",3538.0,208.30379677,hospital,EV1_ma,3538.0,0.0
2593845426,11590763625,A_272,"B_5,B_6",5020.0,1892.20948792,hospital,EV1_ma,3715.0,1305.0
2593853218,11590763624,A_212,B_4,5337.0,1526.03598785,hospital,EV1_ma,5320.0,17.0
3887805309,11590763624,A_278,B_4,2376.0,1570.91852188,hospital,EV1_ma,2359.0,17.0
3887805435,11590763624,A_297,B_4,2024.0,1678.15233612,hospital,EV1_ma,2007.0,17.0
3930024333,11590763625,A_270,"B_5,B_6",4719.0,1122.11662483,hospital,EV1_ma,4719.0,0.0
4723019416,11590763625,A_326,"B_5,B_6",2611.0,1189.68343163,hospital,EV1_ma,2611.0,0.0
4723168145,11590763624,A_274,B_4,3888.0,2258.97821045,hospital,EV1_ma,3611.0,277.0
4723204799,11590763625,A_229,"B_5,B_6",5075.0,2311.43289948,hospital,EV1_ma,4718.0,357.0
4816491860,11590763625,A_341,"B_5,B_6",724.0,408.91734695,hospital,EV1_ma,724.0,0.0
5635142264,11590763625,A_340,"B_5,B_6",1183.0,83.02479362,hospital,EV1_ma,1183.0,0.0
5639948227,11590763624,A_322,B_4,3204.0,40.46790886,hospital,EV1_ma,3204.0,0.0
5639948232,11590763624,A_320,B_4,2675.0,1363.85136414,hospital,EV1_ma,2675.0,0.0
5649961173,11590763624,A_233,B_4,3729.0,1386.32469177,hospital,EV1_ma,3712.0,17.0
5653896226,11590763624,A_294,B_4,4401.0,2381.748909,hospital,EV1_ma,3633.0,768.0
6419699188,11590763624,A_302,B_4,3573.0,1190.52589035,hospital,EV1_ma,3458.0,115.0
11590763569,11590763625,"A_184,A_205,A_225","B_5,B_6",5714.0,842.31756306,hospital,EV1_ma,5714.0,0.0
11590763570,11590763625,A_209,"B_5,B_6",5988.0,2350.57516479,hospital,EV1_ma,5170.0,818.0
11590763572,11590763624,A_211,B_4,4909.0,1658.0099678,hospital,EV1_ma,4892.0,17.0
