u,v,traffic,traffic_egalitarian,traffic_prioritarian
1849146891,1977419699,18070.514874267574,24.0,5290.328067369888
1977419699,2291093198,18070.514874267574,24.0,5290.328067369888
2291093198,1977419695,18070.514874267574,24.0,5290.328067369888
1977419695,7719541100,18070.514874267574,24.0,5290.328067369888
7719541100,7284605705,24914.900811767573,28.0,7892.85575342113
7284605705,6784166345,24914.900811767573,28.0,7892.85575342113
7284218991,1849146083,4517.628718566894,6.0,1322.5820168424718
1849146083,1977419697,4517.628718566894,6.0,1322.5820168424718
1977419697,13081248568,4517.628718566894,6.0,1322.5820168424718
13081248568,2291093189,13073.111140441895,11.0,4575.741624406524
2291093189,1977419693,13073.111140441895,11.0,4575.741624406524
1977419693,7719541101,13073.111140441895,11.0,4575.741624406524
7719541101,7284605689,6228.725202941895,7.0,1973.2139383552824
7284605689,7284605697,6228.725202941895,7.0,1973.2139383552824
13081248552,13081248562,128.346923828125,5.0,68.80220105544483
13081248562,13081248551,150.07962799072268,10.0,72.13471523152032
13081248556,1849171627,3940.758203125,2.0,5016.406167873715
13081248566,3494600493,15284.204101562504,10.0,25844.238990724043
3494600493,6130026099,17051.59404296875,12.0,24944.560988842237
6130026099,13081248617,20287.365625,14.0,26257.94222505284
5504218399,13081248567,6113.681640625,4.0,10337.695596289617
13081248567,1950328139,10026.79375,6.0,20141.721125820717
1950328139,6062635070,10026.79375,6.0,20141.721125820717
6062635070,7284314742,10026.79375,6.0,20141.721125820717
7284314742,1847768354,10026.79375,6.0,20141.721125820717
1847768354,1977416892,34103.1880859375,24.0,49889.12197768448
1977416892,1971779496,36780.176953125,26.0,50907.02741225896
1971779496,1971167548,40574.731250000004,28.0,52515.884450105674
13081248567,5504218399,5869.668164062499,3.0,14706.03829429665
5504218399,5504218401,12874.167578124998,9.0,18655.12754616618
5504218401,5715381571,12874.167578124998,9.0,18655.12754616618
5715381571,3494600493,13994.753222656249,10.0,19775.713190697432
1847768354,7284314742,3235.77158203125,2.0,1313.3812362106003
7284314742,6062635070,3235.77158203125,2.0,1313.3812362106003
6062635070,1950328139,3235.77158203125,2.0,1313.3812362106003
1950328139,6130026099,3235.77158203125,2.0,1313.3812362106003
7719541101,7719541100,6844.3859375,4.0,2602.527686051242
7712547783,13081248566,7050.6826171875,5.0,22024.140565780355
1848302269,6091496731,5602.92822265625,5.0,5602.92822265625
6091496731,1848302353,5602.92822265625,5.0,5602.92822265625
1848302353,1848302343,1120.58564453125,1.0,1120.58564453125
1848302343,5504218405,1120.58564453125,1.0,1120.58564453125
5504218405,5504218404,1120.58564453125,1.0,1120.58564453125
