ID,u,v,RP10_fr,RP10_ma,alt_nodes,alt_time,avgspeed,bridge,connected,diff_time,edge_fid,hazard,highway,lanes,length,link_id,maxspeed,node_A,node_B,rfid,rfid_c,time,vlh_business_RP10_ma,vlh_commute_RP10_ma,vlh_freight_RP10_ma,vlh_other_RP10_ma,vlh_RP10_ma_total
201,137,140,0.0,0.0,nan,,58.0,nan,nan,nan,137_140,RP10_ma,tertiary,nan,18.0,201,nan,137,140,401,216,0.0,0.0,0.0,0.0,0.0,0.0
200,138,139,0.0,0.0,nan,,58.0,nan,nan,nan,138_139,RP10_ma,tertiary,nan,121.0,200,nan,138,139,398,217,0.002,0.0,0.0,0.0,0.0,0.0
202,138,140,0.0,0.0,nan,,58.0,nan,nan,nan,138_140,RP10_ma,tertiary_link,nan,27.0,202,nan,138,140,402,218,0.0,0.0,0.0,0.0,0.0,0.0
204,139,142,0.0,0.0,nan,,58.0,nan,nan,nan,139_142,RP10_ma,tertiary,nan,18.0,204,nan,139,142,409,219,0.0,0.0,0.0,0.0,0.0,0.0
205,139,141,0.0,0.0,nan,,58.0,nan,nan,nan,139_141,RP10_ma,tertiary_link,nan,27.0,205,nan,139,141,405,220,0.0,0.0,0.0,0.0,0.0,0.0
203,140,141,0.0,0.0,nan,,58.0,nan,nan,nan,140_141,RP10_ma,tertiary,nan,120.0,203,nan,140,141,406,221,0.002,0.0,0.0,0.0,0.0,0.0
220,144,147,0.0,0.0,nan,,58.0,nan,nan,nan,144_147,RP10_ma,tertiary,nan,183.0,220,nan,144,147,424,222,0.003,0.0,0.0,0.0,0.0,0.0
221,145,146,0.0,0.0,nan,,60.0,nan,nan,nan,145_146,RP10_ma,tertiary,2,17.0,221,60,145,146,422,223,0.0,0.0,0.0,0.0,0.0,0.0
222,145,147,0.0,0.0,nan,,58.0,nan,nan,nan,145_147,RP10_ma,tertiary_link,nan,17.0,222,nan,145,147,425,224,0.0,0.0,0.0,0.0,0.0,0.0
235,148,149,0.0,0.0,nan,,50.0,nan,nan,nan,148_149,RP10_ma,secondary_link,nan,28.0,235,nan,148,149,429,225,0.001,0.0,0.0,0.0,0.0,0.0
242,150,152,0.0,0.0,nan,,50.0,nan,nan,nan,150_152,RP10_ma,trunk,2,74.0,242,nan,150,152,436,226,0.001,0.0,0.0,0.0,0.0,0.0
244,151,153,0.0,0.0,nan,,50.0,nan,nan,nan,151_153,RP10_ma,trunk,3,76.0,244,nan,151,153,439,227,0.002,0.0,0.0,0.0,0.0,0.0
243,151,152,0.0,0.0,nan,,50.0,nan,nan,nan,151_152,RP10_ma,trunk_link,nan,13.0,243,nan,151,152,437,228,0.0,0.0,0.0,0.0,0.0,0.0
251,152,155,0.0,0.0,nan,,50.0,nan,nan,nan,152_155,RP10_ma,trunk,2,76.0,251,nan,152,155,445,229,0.002,0.0,0.0,0.0,0.0,0.0
250,153,155,0.0,0.0,nan,,50.0,nan,nan,nan,153_155,RP10_ma,trunk_link,nan,13.0,250,nan,153,155,446,230,0.0,0.0,0.0,0.0,0.0,0.0
253,153,156,0.0,0.0,nan,,50.0,nan,nan,nan,153_156,RP10_ma,trunk,3,30.0,253,nan,153,156,448,231,0.001,0.0,0.0,0.0,0.0,0.0
246,154,155,0.0,0.0,nan,,50.0,nan,nan,nan,154_155,RP10_ma,trunk,2,30.0,246,nan,154,155,447,232,0.001,0.0,0.0,0.0,0.0,0.0
249,154,156,0.0,0.0,nan,,50.0,nan,nan,nan,154_156,RP10_ma,trunk_link,nan,13.0,249,nan,154,156,449,233,0.0,0.0,0.0,0.0,0.0,0.0
248,156,157,0.0,0.0,nan,,50.0,nan,nan,nan,156_157,RP10_ma,trunk,3,177.0,248,nan,156,157,452,234,0.004,0.0,0.0,0.0,0.0,0.0
257,157,158,0.0,0.0,nan,,50.0,nan,nan,nan,157_158,RP10_ma,trunk,3,1504.0,257,nan,157,158,454,235,0.03,0.0,0.0,0.0,0.0,0.0
